rank,sigma,log10_sigma
99,6.660815654574780e-01,-0.176473
100,6.660815654574780e-01,-0.176473
101,6.658402913534726e-01,-0.176630
102,6.658402913534723e-01,-0.176630
103,6.657175388030108e-01,-0.176710
104,6.657175388030107e-01,-0.176710
105,6.654678409802350e-01,-0.176873
106,6.654678409802350e-01,-0.176873
107,6.653409112776120e-01,-0.176956
108,6.653409112776120e-01,-0.176956
109,6.650829298577445e-01,-0.177124
110,6.650829298577444e-01,-0.177124
111,6.649518942231359e-01,-0.177210
112,6.649518942231357e-01,-0.177210
113,6.646857739442863e-01,-0.177384
114,6.646857739442862e-01,-0.177384
115,6.645507058872078e-01,-0.177472
116,6.645507058872078e-01,-0.177472
117,6.642765960281706e-01,-0.177651
118,6.642765960281704e-01,-0.177651
119,6.641375713093958e-01,-0.177742
120,6.641375713093958e-01,-0.177742
121,6.638556256131127e-01,-0.177926
122,6.638556256131126e-01,-0.177926
123,6.637127222062359e-01,-0.178020
124,6.637127222062358e-01,-0.178020
125,6.634230988026411e-01,-0.178209
126,6.634230988026408e-01,-0.178209
127,6.632763968553790e-01,-0.178305
128,6.632763968553786e-01,-0.178305
129,6.629792581838083e-01,-0.178500
130,6.629792581838082e-01,-0.178500
131,6.628288399791287e-01,-0.178599
132,6.628288399791284e-01,-0.178599
133,6.625243527104691e-01,-0.178798
134,6.625243527104689e-01,-0.178798
135,6.623703026276302e-01,-0.178899
136,6.623703026276302e-01,-0.178899
137,6.620586375863854e-01,-0.179104
138,6.620586375863853e-01,-0.179104
139,6.619010420619816e-01,-0.179207
140,6.619010420619816e-01,-0.179207
141,6.615823741484268e-01,-0.179416
142,6.615823741484267e-01,-0.179416
143,6.614213216375179e-01,-0.179522
144,6.614213216375179e-01,-0.179522
145,6.610958297501147e-01,-0.179736
146,6.610958297501145e-01,-0.179736
147,6.609314106875273e-01,-0.179844
148,6.609314106875271e-01,-0.179844
149,6.605992776457625e-01,-0.180062
150,6.605992776457622e-01,-0.180062
151,6.604315844076466e-01,-0.180172
152,6.604315844076465e-01,-0.180172
153,6.600929968754577e-01,-0.180395
154,6.600929968754574e-01,-0.180395
155,6.599221237411744e-01,-0.180507
156,6.599221237411742e-01,-0.180507
157,6.595772721511185e-01,-0.180734
158,6.595772721511184e-01,-0.180734
159,6.594033152655367e-01,-0.180849
160,6.594033152655364e-01,-0.180849
161,6.590523937438515e-01,-0.181080
162,6.590523937438515e-01,-0.181080
163,6.588754510801269e-01,-0.181197
164,6.588754510801268e-01,-0.181197
165,6.585186573728269e-01,-0.181432
166,6.585186573728268e-01,-0.181432
167,6.583388286957348e-01,-0.181551
168,6.583388286957348e-01,-0.181551
169,6.579763640958760e-01,-0.181790
170,6.579763640958760e-01,-0.181790
171,6.577937509257592e-01,-0.181910
172,6.577937509257592e-01,-0.181910
173,6.574258202020025e-01,-0.182153
174,6.574258202020025e-01,-0.182153
175,6.572405257793975e-01,-0.182276
176,6.572405257793974e-01,-0.182276
177,6.568673371059823e-01,-0.182522
178,6.568673371059820e-01,-0.182522
179,6.566794663569790e-01,-0.182647
180,6.566794663569789e-01,-0.182647
181,6.563012312452160e-01,-0.182897
182,6.563012312452158e-01,-0.182897
183,6.561108907476022e-01,-0.183023
184,6.561108907476022e-01,-0.183023
185,6.557278239789789e-01,-0.183276
186,6.557278239789786e-01,-0.183276
187,6.555351219292095e-01,-0.183404
188,6.555351219292092e-01,-0.183404
189,6.551474414901880e-01,-0.183661
190,6.551474414901879e-01,-0.183661
191,6.549524876712209e-01,-0.183790
192,6.549524876712208e-01,-0.183790
193,6.545604146897990e-01,-0.184050
194,6.545604146897985e-01,-0.184050
195,6.543633204398250e-01,-0.184181
196,6.543633204398248e-01,-0.184181
197,6.539670791239073e-01,-0.184444
198,6.539670791239073e-01,-0.184444
199,6.537679573059993e-01,-0.184576
200,6.537679573059991e-01,-0.184576
201,6.533677748836232e-01,-0.184842
202,6.533677748836232e-01,-0.184842
203,6.531667398563120e-01,-0.184976
204,6.531667398563118e-01,-0.184976
205,6.527628465177390e-01,-0.185245
206,6.527628465177389e-01,-0.185245
207,6.525600141065288e-01,-0.185380
208,6.525600141065285e-01,-0.185380
209,6.521526429482073e-01,-0.185651
210,6.521526429482071e-01,-0.185651
211,6.519481304180214e-01,-0.185787
212,6.519481304180211e-01,-0.185787
213,6.515375173883978e-01,-0.186061
214,6.515375173883977e-01,-0.186061
215,6.513314434169395e-01,-0.186198
216,6.513314434169394e-01,-0.186198
217,6.509178272640775e-01,-0.186474
218,6.509178272640773e-01,-0.186474
219,6.507103119160820e-01,-0.186612
220,6.507103119160818e-01,-0.186612
221,6.502939341370257e-01,-0.186890
222,6.502939341370256e-01,-0.186890
223,6.500850988393603e-01,-0.187030
224,6.500850988393602e-01,-0.187030
225,6.496662036311507e-01,-0.187310
226,6.496662036311502e-01,-0.187310
227,6.494561711487180e-01,-0.187450
228,6.494561711487178e-01,-0.187450
229,6.490350053609483e-01,-0.187732
230,6.490350053609482e-01,-0.187732
231,6.488238997733238e-01,-0.187873
232,6.488238997733238e-01,-0.187873
233,6.484007128620896e-01,-0.188157
234,6.484007128620896e-01,-0.188157
235,6.481886595408147e-01,-0.188299
236,6.481886595408147e-01,-0.188299
237,6.477637035238859e-01,-0.188583
238,6.477637035238858e-01,-0.188583
239,6.475508291103231e-01,-0.188726
240,6.475508291103231e-01,-0.188726
241,6.471243585233331e-01,-0.189012
242,6.471243585233331e-01,-0.189012
243,6.469107909069737e-01,-0.189156
244,6.469107909069736e-01,-0.189156
245,6.464830627603855e-01,-0.189443
246,6.464830627603854e-01,-0.189443
247,6.462689310574787e-01,-0.189587
248,6.462689310574786e-01,-0.189587
249,6.458402047940583e-01,-0.189875
250,6.458402047940583e-01,-0.189875
251,6.456256393264201e-01,-0.190019
252,6.456256393264200e-01,-0.190019
253,6.451961767789032e-01,-0.190308
254,6.451961767789031e-01,-0.190308
255,6.449813090527358e-01,-0.190453
256,6.449813090527352e-01,-0.190453
257,6.445513744013389e-01,-0.190742
258,6.445513744013389e-01,-0.190742
259,6.443363370858791e-01,-0.190887
260,6.443363370858789e-01,-0.190887
261,6.439061968152685e-01,-0.191177
262,6.439061968152681e-01,-0.191177
263,6.436911237210581e-01,-0.191322
264,6.436911237210580e-01,-0.191322
265,6.432610465763352e-01,-0.191613
266,6.432610465763350e-01,-0.191613
267,6.430460726328870e-01,-0.191758
268,6.430460726328868e-01,-0.191758
269,6.426163295741233e-01,-0.192048
270,6.426163295741232e-01,-0.192048
271,6.424015908067293e-01,-0.192193
272,6.424015908067291e-01,-0.192193
273,6.419724549615208e-01,-0.192484
274,6.419724549615208e-01,-0.192484
275,6.417580884669348e-01,-0.192629
276,6.417580884669348e-01,-0.192629
277,6.413298350804069e-01,-0.192919
278,6.413298350804069e-01,-0.192919
279,6.411159790010995e-01,-0.193063
280,6.411159790010994e-01,-0.193063
281,6.406888853827458e-01,-0.193353
282,6.406888853827457e-01,-0.193353
283,6.404756788794127e-01,-0.193497
284,6.404756788794127e-01,-0.193497
285,6.400500243460977e-01,-0.193786
286,6.400500243460977e-01,-0.193786
287,6.398376075680748e-01,-0.193930
288,6.398376075680748e-01,-0.193930
289,6.394136733824834e-01,-0.194218
290,6.394136733824834e-01,-0.194218
291,6.392021874356961e-01,-0.194362
292,6.392021874356960e-01,-0.194362
293,6.387802567394607e-01,-0.194649
294,6.387802567394606e-01,-0.194649
295,6.385698436515115e-01,-0.194792
296,6.385698436515115e-01,-0.194792
297,6.381502013922026e-01,-0.195077
298,6.381502013922026e-01,-0.195077
299,6.379410040741760e-01,-0.195219
300,6.379410040741760e-01,-0.195219
301,6.375239369252850e-01,-0.195504
302,6.375239369252850e-01,-0.195504
303,6.373160991298250e-01,-0.195645
304,6.373160991298250e-01,-0.195645
305,6.369018954028295e-01,-0.195927
306,6.369018954028295e-01,-0.195927
307,6.366955616780210e-01,-0.196068
308,6.366955616780209e-01,-0.196068
309,6.362845112255715e-01,-0.196349
310,6.362845112255711e-01,-0.196349
311,6.360798268641346e-01,-0.196488
312,6.360798268641346e-01,-0.196488
313,6.356722209733656e-01,-0.196767
314,6.356722209733656e-01,-0.196767
315,6.354693319566560e-01,-0.196905
316,6.354693319566559e-01,-0.196905
317,6.350654632315802e-01,-0.197182
318,6.350654632315801e-01,-0.197182
319,6.348645161678648e-01,-0.197319
320,6.348645161678647e-01,-0.197319
321,6.344646783997820e-01,-0.197593
322,6.344646783997819e-01,-0.197593
323,6.342658204562511e-01,-0.197729
324,6.342658204562510e-01,-0.197729
325,6.338703084810794e-01,-0.198000
326,6.338703084810793e-01,-0.198000
327,6.336736873090401e-01,-0.198134
328,6.336736873090401e-01,-0.198134
329,6.332827968504497e-01,-0.198402
330,6.332827968504496e-01,-0.198402
331,6.330885605031434e-01,-0.198536
332,6.330885605031434e-01,-0.198536
333,6.327025880003769e-01,-0.198800
334,6.327025880003768e-01,-0.198800
335,6.325108848428566e-01,-0.198932
336,6.325108848428566e-01,-0.198932
337,6.321301272621122e-01,-0.199194
338,6.321301272621120e-01,-0.199194
339,6.319411058726252e-01,-0.199323
340,6.319411058726250e-01,-0.199323
341,6.315658605008970e-01,-0.199581
342,6.315658605008969e-01,-0.199581
343,6.313796695632234e-01,-0.199709
344,6.313796695632232e-01,-0.199709
345,6.310102337835242e-01,-0.199964
346,6.310102337835238e-01,-0.199964
347,6.308270219697447e-01,-0.200090
348,6.308270219697446e-01,-0.200090
349,6.304636930166700e-01,-0.200340
350,6.304636930166699e-01,-0.200340
351,6.302836088598571e-01,-0.200464
352,6.302836088598570e-01,-0.200464
353,6.299266835545289e-01,-0.200710
354,6.299266835545289e-01,-0.200710
355,6.297498753108959e-01,-0.200832
356,6.297498753108958e-01,-0.200832
357,6.293996497743796e-01,-0.201074
358,6.293996497743796e-01,-0.201074
359,6.292262652744627e-01,-0.201193
360,6.292262652744626e-01,-0.201193
361,6.288830346188753e-01,-0.201430
362,6.288830346188753e-01,-0.201430
363,6.287132211073841e-01,-0.201547
364,6.287132211073840e-01,-0.201547
365,6.283772791040169e-01,-0.201780
366,6.283772791040168e-01,-0.201780
367,6.282111830680482e-01,-0.201894
368,6.282111830680480e-01,-0.201894
369,6.278828217919791e-01,-0.202121
370,6.278828217919790e-01,-0.202121
371,6.277205887773769e-01,-0.202234
372,6.277205887773768e-01,-0.202234
373,6.274000982282187e-01,-0.202455
374,6.274000982282185e-01,-0.202455
375,6.272418726439423e-01,-0.202565
376,6.272418726439419e-01,-0.202565
377,6.269295403425601e-01,-0.202781
378,6.269295403425597e-01,-0.202781
379,6.267754652530395e-01,-0.202888
380,6.267754652530395e-01,-0.202888
381,6.264715758142948e-01,-0.203099
382,6.264715758142946e-01,-0.203099
383,6.263217927198534e-01,-0.203202
384,6.263217927198533e-01,-0.203202
385,6.260266274016711e-01,-0.203407
386,6.260266274016710e-01,-0.203407
387,6.258812760072324e-01,-0.203508
388,6.258812760072324e-01,-0.203508
389,6.255951122365592e-01,-0.203707
390,6.255951122365586e-01,-0.203707
391,6.254543302089908e-01,-0.203804
392,6.254543302089904e-01,-0.203804
393,6.251774410854883e-01,-0.203997
394,6.251774410854882e-01,-0.203997
395,6.250413638000847e-01,-0.204091
396,6.250413638000847e-01,-0.204091
397,6.247740175787330e-01,-0.204277
398,6.247740175787329e-01,-0.204277
399,6.246427778554958e-01,-0.204368
400,6.246427778554955e-01,-0.204368
401,6.243852374095751e-01,-0.204547
402,6.243852374095750e-01,-0.204547
403,6.242589652401203e-01,-0.204635
404,6.242589652401203e-01,-0.204635
405,6.240114875064113e-01,-0.204807
406,6.240114875064112e-01,-0.204807
407,6.238903097725029e-01,-0.204892
408,6.238903097725026e-01,-0.204892
409,6.236531451808663e-01,-0.205057
410,6.236531451808661e-01,-0.205057
411,6.235371853657425e-01,-0.205138
412,6.235371853657424e-01,-0.205138
413,6.233105772556052e-01,-0.205296
414,6.233105772556052e-01,-0.205296
415,6.231999551494568e-01,-0.205373
416,6.231999551494566e-01,-0.205373
417,6.229841391760719e-01,-0.205523
418,6.229841391760715e-01,-0.205523
419,6.228789705771822e-01,-0.205596
420,6.228789705771819e-01,-0.205596
421,6.226741741108744e-01,-0.205739
422,6.226741741108742e-01,-0.205739
423,6.225745705241155e-01,-0.205809
424,6.225745705241152e-01,-0.205809
425,6.223810120460416e-01,-0.205944
426,6.223810120460416e-01,-0.205944
427,6.222870803805649e-01,-0.206009
428,6.222870803805649e-01,-0.206009
429,6.221049688788203e-01,-0.206136
430,6.221049688788201e-01,-0.206136
431,6.220168111469282e-01,-0.206198
432,6.220168111469281e-01,-0.206198
433,6.218463455170956e-01,-0.206317
434,6.218463455170956e-01,-0.206317
435,6.217640585364008e-01,-0.206374
436,6.217640585364007e-01,-0.206374
437,6.216054269908714e-01,-0.206485
438,6.216054269908712e-01,-0.206485
439,6.215291020919563e-01,-0.206539
440,6.215291020919563e-01,-0.206539
441,6.213824815825183e-01,-0.206641
442,6.213824815825181e-01,-0.206641
443,6.213122043243836e-01,-0.206690
444,6.213122043243832e-01,-0.206690
445,6.211777599827197e-01,-0.206784
446,6.211777599827195e-01,-0.206784
447,6.211136098783532e-01,-0.206829
448,6.211136098783530e-01,-0.206829
449,6.209914944791357e-01,-0.206914
450,6.209914944791355e-01,-0.206914
451,6.209335447335599e-01,-0.206955
452,6.209335447335587e-01,-0.206955
453,6.208238981848407e-01,-0.207032
454,6.208238981848405e-01,-0.207032
455,6.207722154479708e-01,-0.207068
456,6.207722154479706e-01,-0.207068
457,6.206751643134882e-01,-0.207136
458,6.206751643134881e-01,-0.207136
459,6.206298084500798e-01,-0.207167
460,6.206298084500796e-01,-0.207167
461,6.205454655079616e-01,-0.207226
462,6.205454655079616e-01,-0.207226
463,6.205064893868386e-01,-0.207254
464,6.205064893868386e-01,-0.207254
465,6.204349532289607e-01,-0.207304
466,6.204349532289605e-01,-0.207304
467,6.204024025335867e-01,-0.207327
468,6.204024025335866e-01,-0.207327
469,6.203437572095504e-01,-0.207368
470,6.203437572095503e-01,-0.207368
471,6.203176702718382e-01,-0.207386
472,6.203176702718379e-01,-0.207386
473,6.202719849811773e-01,-0.207418
474,6.202719849811772e-01,-0.207418
475,6.202523926402375e-01,-0.207432
476,6.202523926402370e-01,-0.207432
477,6.202197214760232e-01,-0.207454
478,6.202197214760226e-01,-0.207454
479,6.202066469633191e-01,-0.207464
480,6.202066469633190e-01,-0.207464
481,6.201870287098517e-01,-0.207477
482,6.201870287098517e-01,-0.207477
483,6.201804875619772e-01,-0.207482
484,6.201804875619772e-01,-0.207482
485,6.201739455487120e-01,-0.207486
486,6.201739455487116e-01,-0.207486
487,5.114081590970626e-01,-0.291232
488,5.114081590970624e-01,-0.291232
489,5.114044908187112e-01,-0.291235
490,5.114044908187110e-01,-0.291235
491,5.114008232205834e-01,-0.291239
492,5.114008232205833e-01,-0.291239
493,5.113898245053896e-01,-0.291248
494,5.113898245053893e-01,-0.291248
495,5.113824954257659e-01,-0.291254
496,5.113824954257656e-01,-0.291254
497,5.113641846042751e-01,-0.291270
498,5.113641846042747e-01,-0.291270
499,5.113532062474182e-01,-0.291279
500,5.113532062474181e-01,-0.291279
501,5.113276137740730e-01,-0.291301
502,5.113276137740729e-01,-0.291301
503,5.113130043741957e-01,-0.291313
504,5.113130043741956e-01,-0.291313
505,5.112801726837487e-01,-0.291341
506,5.112801726837483e-01,-0.291341
507,5.112619564192826e-01,-0.291357
508,5.112619564192825e-01,-0.291357
509,5.112219397279810e-01,-0.291391
510,5.112219397279807e-01,-0.291391
511,5.112001466087309e-01,-0.291409
512,5.112001466087309e-01,-0.291409
513,5.111530106624217e-01,-0.291449
514,5.111530106624216e-01,-0.291449
515,5.111276763908175e-01,-0.291471
516,5.111276763908172e-01,-0.291471
517,5.110734981626713e-01,-0.291517
518,5.110734981626711e-01,-0.291517
519,5.110446639705932e-01,-0.291541
520,5.110446639705931e-01,-0.291541
521,5.109835313116301e-01,-0.291593
522,5.109835313116301e-01,-0.291593
523,5.109512437745123e-01,-0.291621
524,5.109512437745122e-01,-0.291621
525,5.108832550205468e-01,-0.291678
526,5.108832550205467e-01,-0.291678
527,5.108475658506610e-01,-0.291709
528,5.108475658506609e-01,-0.291709
529,5.107728293896454e-01,-0.291772
530,5.107728293896453e-01,-0.291772
531,5.107337952106380e-01,-0.291805
532,5.107337952106378e-01,-0.291805
533,5.106524290146831e-01,-0.291875
534,5.106524290146831e-01,-0.291875
535,5.106101111195579e-01,-0.291911
536,5.106101111195577e-01,-0.291911
537,5.105222422461244e-01,-0.291985
538,5.105222422461243e-01,-0.291985
539,5.104767063409652e-01,-0.292024
540,5.104767063409651e-01,-0.292024
541,5.103824704078661e-01,-0.292104
542,5.103824704078659e-01,-0.292104
543,5.103337863436442e-01,-0.292146
544,5.103337863436442e-01,-0.292146
545,5.102333269825787e-01,-0.292231
546,5.102333269825786e-01,-0.292231
547,5.101815684774043e-01,-0.292275
548,5.101815684774043e-01,-0.292275
549,5.100750367707381e-01,-0.292366
550,5.100750367707381e-01,-0.292366
551,5.100202811249055e-01,-0.292413
552,5.100202811249053e-01,-0.292413
553,5.099078350303532e-01,-0.292508
554,5.099078350303532e-01,-0.292508
555,5.098501628364820e-01,-0.292557
556,5.098501628364820e-01,-0.292557
557,5.097319666042239e-01,-0.292658
558,5.097319666042239e-01,-0.292658
559,5.096714614547184e-01,-0.292710
560,5.096714614547182e-01,-0.292710
561,5.095476850413000e-01,-0.292815
562,5.095476850413000e-01,-0.292815
563,5.094844332352485e-01,-0.292869
564,5.094844332352485e-01,-0.292869
565,5.093552517183924e-01,-0.292979
566,5.093552517183921e-01,-0.292979
567,5.092893419699084e-01,-0.293035
568,5.092893419699083e-01,-0.293035
569,5.091549349680951e-01,-0.293150
570,5.091549349680949e-01,-0.293150
571,5.090864581179546e-01,-0.293208
572,5.090864581179544e-01,-0.293208
573,5.089470092183386e-01,-0.293327
574,5.089470092183382e-01,-0.293327
575,5.088760579506170e-01,-0.293388
576,5.088760579506170e-01,-0.293388
577,5.087317541485152e-01,-0.293511
578,5.087317541485151e-01,-0.293511
579,5.086584227137627e-01,-0.293574
580,5.086584227137626e-01,-0.293574
581,5.085094538666205e-01,-0.293701
582,5.085094538666205e-01,-0.293701
583,5.084338378129365e-01,-0.293766
584,5.084338378129365e-01,-0.293766
585,5.082803961113268e-01,-0.293897
586,5.082803961113268e-01,-0.293897
587,5.082025920245287e-01,-0.293963
588,5.082025920245287e-01,-0.293963
589,5.080448714823884e-01,-0.294098
590,5.080448714823883e-01,-0.294098
591,5.079649767362874e-01,-0.294166
592,5.079649767362873e-01,-0.294166
593,5.078031727022531e-01,-0.294305
594,5.078031727022529e-01,-0.294305
595,5.077212852198820e-01,-0.294375
596,5.077212852198819e-01,-0.294375
597,5.075555939112455e-01,-0.294516
598,5.075555939112454e-01,-0.294516
599,5.074718119377191e-01,-0.294588
600,5.074718119377190e-01,-0.294588
601,5.073024299981981e-01,-0.294733
602,5.073024299981981e-01,-0.294733
603,5.072168518857232e-01,-0.294806
604,5.072168518857232e-01,-0.294806
605,5.070439759679400e-01,-0.294954
606,5.070439759679399e-01,-0.294954
607,5.069566999733497e-01,-0.295029
608,5.069566999733496e-01,-0.295029
609,5.067805263466146e-01,-0.295180
610,5.067805263466144e-01,-0.295180
611,5.066916504416553e-01,-0.295256
612,5.066916504416553e-01,-0.295256
613,5.065123746253939e-01,-0.295410
614,5.065123746253938e-01,-0.295410
615,5.064219963198745e-01,-0.295487
616,5.064219963198744e-01,-0.295487
617,5.062398127427866e-01,-0.295644
618,5.062398127427864e-01,-0.295644
619,5.061480289205752e-01,-0.295722
620,5.061480289205751e-01,-0.295722
621,5.059631306054025e-01,-0.295881
622,5.059631306054024e-01,-0.295881
623,5.058700373731604e-01,-0.295961
624,5.058700373731603e-01,-0.295961
625,5.056826156467399e-01,-0.296122
626,5.056826156467396e-01,-0.296122
627,5.055883081951871e-01,-0.296203
628,5.055883081951871e-01,-0.296203
629,5.053985524233027e-01,-0.296366
630,5.053985524233026e-01,-0.296366
631,5.053031249007324e-01,-0.296448
632,5.053031249007321e-01,-0.296448
633,5.051112222471250e-01,-0.296613
634,5.051112222471248e-01,-0.296613
635,5.050147676448159e-01,-0.296696
636,5.050147676448159e-01,-0.296696
637,5.048209028535989e-01,-0.296863
638,5.048209028535987e-01,-0.296863
639,5.047235129027218e-01,-0.296946
640,5.047235129027215e-01,-0.296946
641,5.045278681033358e-01,-0.297115
642,5.045278681033358e-01,-0.297115
643,5.044296331828982e-01,-0.297199
644,5.044296331828981e-01,-0.297199
645,5.042323877166709e-01,-0.297369
646,5.042323877166706e-01,-0.297369
647,5.041333967720177e-01,-0.297455
648,5.041333967720176e-01,-0.297455
649,5.039347270393172e-01,-0.297626
650,5.039347270393171e-01,-0.297626
651,5.038350675106710e-01,-0.297712
652,5.038350675106708e-01,-0.297712
653,5.036351468376135e-01,-0.297884
654,5.036351468376129e-01,-0.297884
655,5.035349045981183e-01,-0.297970
656,5.035349045981181e-01,-0.297970
657,5.033339031217432e-01,-0.298144
658,5.033339031217431e-01,-0.298144
659,5.032331624244761e-01,-0.298231
660,5.032331624244759e-01,-0.298231
661,5.030312469953009e-01,-0.298405
662,5.030312469953007e-01,-0.298405
663,5.029300904286931e-01,-0.298492
664,5.029300904286929e-01,-0.298492
665,5.027274245295447e-01,-0.298667
666,5.027274245295443e-01,-0.298667
667,5.026259329806699e-01,-0.298755
668,5.026259329806697e-01,-0.298755
669,5.024226766607047e-01,-0.298931
670,5.024226766607043e-01,-0.298931
671,5.023209292858896e-01,-0.299019
672,5.023209292858895e-01,-0.299019
673,5.021172391087211e-01,-0.299195
674,5.021172391087211e-01,-0.299195
675,5.020153133109493e-01,-0.299283
676,5.020153133109491e-01,-0.299283
677,5.018113423158369e-01,-0.299460
678,5.018113423158369e-01,-0.299460
679,5.017093137284171e-01,-0.299548
680,5.017093137284170e-01,-0.299548
681,5.015052114034865e-01,-0.299725
682,5.015052114034863e-01,-0.299725
683,5.014031538794935e-01,-0.299813
684,5.014031538794935e-01,-0.299813
685,5.011990661460003e-01,-0.299990
686,5.011990661460001e-01,-0.299990
687,5.010970517529969e-01,-0.300078
688,5.010970517529967e-01,-0.300078
689,5.008931209596885e-01,-0.300255
690,5.008931209596883e-01,-0.300255
691,5.007912199792610e-01,-0.300343
692,5.007912199792609e-01,-0.300343
693,5.005875849059219e-01,-0.300520
694,5.005875849059218e-01,-0.300520
695,5.004858658375932e-01,-0.300608
696,5.004858658375931e-01,-0.300608
697,5.002826617069105e-01,-0.300785
698,5.002826617069103e-01,-0.300785
699,5.001811912760026e-01,-0.300873
700,5.001811912760026e-01,-0.300873
701,4.999785497729330e-01,-0.301049
702,4.999785497729329e-01,-0.301049
703,4.998773929419862e-01,-0.301137
704,4.998773929419861e-01,-0.301137
705,4.996754422398499e-01,-0.301312
706,4.996754422398498e-01,-0.301312
707,4.995746622232161e-01,-0.301400
708,4.995746622232159e-01,-0.301400
709,4.993735270157902e-01,-0.301574
710,4.993735270157902e-01,-0.301574
711,4.992731852970562e-01,-0.301662
712,4.992731852970561e-01,-0.301662
713,4.990729868359853e-01,-0.301836
714,4.990729868359851e-01,-0.301836
715,4.989731431878900e-01,-0.301923
716,4.989731431878899e-01,-0.301923
717,4.987739993247759e-01,-0.302096
718,4.987739993247758e-01,-0.302096
719,4.986747118313182e-01,-0.302183
720,4.986747118313181e-01,-0.302183
721,4.984767370639002e-01,-0.302355
722,4.984767370639001e-01,-0.302355
723,4.983780621443487e-01,-0.302441
724,4.983780621443487e-01,-0.302441
725,4.981813676662190e-01,-0.302613
726,4.981813676662189e-01,-0.302613
727,4.980833601007619e-01,-0.302698
728,4.980833601007619e-01,-0.302698
729,4.978880538541126e-01,-0.302868
730,4.978880538541124e-01,-0.302868
731,4.977907668109020e-01,-0.302953
732,4.977907668109018e-01,-0.302953
733,4.975969535418287e-01,-0.303122
734,4.975969535418286e-01,-0.303122
735,4.975004386051933e-01,-0.303207
