k,r,max_prime,orbit_length,reached_1,diverged,pi
7,467,1619,84,1,0,3.8129317862e-04
7,469,67,22,1,0,4.6701201576e-04
7,470,1619,128,1,0,7.6479289872e-04
7,472,101,35,1,0,4.0679970185e-04
7,473,71,35,1,0,1.1273620722e-04
7,475,241,27,1,0,1.6170402299e-04
7,476,269,35,1,0,1.4829870939e-03
7,478,1367,53,1,0,3.3898657132e-04
7,479,1619,53,1,0,4.4202682113e-03
7,481,271,48,1,0,1.0532807840e-03
7,482,241,22,1,0,1.0185188123e-04
7,484,1619,97,1,0,5.2287701010e-05
7,485,1619,97,1,0,1.9050992091e-03
7,487,1619,141,1,0,5.3053486676e-04
7,488,61,22,1,0,1.3196975631e-03
7,490,53,22,1,0,4.6229346615e-04
7,491,1777,141,1,0,3.3544339811e-04
7,493,157,48,1,0,1.7815136370e-04
7,494,557,48,1,0,7.2025489667e-04
7,496,1619,110,1,0,2.2697730054e-03
7,497,373,22,1,0,3.9147087427e-04
7,499,499,48,1,0,5.8609550771e-04
7,500,1619,110,1,0,5.8403242188e-04
7,502,1619,66,1,0,1.7778872618e-04
7,503,1619,66,1,0,8.8487762779e-04
7,505,641,61,1,0,4.8692730643e-04
7,506,1619,110,1,0,2.6934293750e-03
7,508,1093,48,1,0,4.4312387242e-04
7,509,1093,48,1,0,1.1933764584e-04
7,511,13121,61,1,0,9.6535551565e-05
7,512,2,9,1,0,1.3131265560e-03
7,514,1619,123,1,0,5.9937928191e-04
7,515,1619,123,1,0,3.9518293785e-04
7,517,1619,123,1,0,1.9540723168e-04
7,518,1619,123,1,0,2.2611321781e-04
7,520,37,30,1,0,6.2457078198e-05
7,521,1619,123,1,0,2.6107482684e-04
7,523,1619,123,1,0,3.3772093185e-04
7,524,197,30,1,0,1.3559283588e-03
7,526,1619,79,1,0,5.5360247930e-04
7,527,1619,79,1,0,2.5371686655e-04
7,529,397,30,1,0,1.9751250525e-04
7,530,1619,123,1,0,8.0454196985e-04
7,532,29,30,1,0,3.6585956246e-04
7,533,41,30,1,0,8.1518239380e-04
7,535,241,22,1,0,3.4972037426e-04
7,536,101,30,1,0,1.0376641945e-04
7,538,269,30,1,0,9.1027752079e-05
7,539,1367,48,1,0,4.6546325637e-04
7,541,541,43,1,0,2.0411003594e-04
7,542,271,43,1,0,1.4327467542e-03
7,544,17,17,1,0,1.3114151019e-04
7,545,461,43,1,0,6.2632908606e-04
7,547,821,30,1,0,9.8349276184e-05
7,548,1619,92,1,0,3.9913300372e-04
7,550,1619,92,1,0,4.6234857620e-04
7,551,827,43,1,0,4.2791763738e-04
7,553,1777,136,1,0,6.5392551215e-04
7,554,277,17,1,0,1.5036109149e-04
7,556,157,43,1,0,1.2133288691e-04
7,557,557,43,1,0,1.6436212213e-03
7,559,2693,87,1,0,1.6283234818e-04
7,560,53,17,1,0,6.4102057779e-04
7,562,317,43,1,0,1.0041629206e-03
7,563,563,43,1,0,1.1298883465e-04
7,565,113,17,1,0,4.0787567402e-05
7,566,1619,61,1,0,2.3318286542e-03
7,568,1619,105,1,0,3.2494172452e-04
7,569,641,56,1,0,8.1565919607e-04
7,571,857,30,1,0,1.4912600038e-04
7,572,1619,105,1,0,3.3884261800e-04
7,574,1093,43,1,0,1.1012239270e-04
7,575,4373,43,1,0,3.4083907215e-04
7,577,577,30,1,0,1.3691356855e-03
7,578,163,30,1,0,3.7415268508e-04
7,580,1619,118,1,0,7.7088785241e-04
7,581,1619,118,1,0,1.0850520206e-03
7,583,1109,30,1,0,9.7712476868e-05
7,584,1619,118,1,0,6.6602093935e-04
7,586,1619,118,1,0,2.4676955545e-04
7,587,1619,118,1,0,1.1943985185e-03
7,589,1619,118,1,0,5.7740627693e-04
7,590,499,56,1,0,1.0917356757e-04
7,592,37,25,1,0,8.0687317935e-05
7,593,1619,74,1,0,4.9724699794e-03
7,595,1619,74,1,0,3.0501627408e-04
7,596,149,25,1,0,5.6084792198e-04
7,598,1619,118,1,0,3.6960778589e-04
7,599,1619,118,1,0,1.6983398735e-04
7,601,1093,56,1,0,4.9025788361e-05
7,602,113,17,1,0,2.2257246967e-04
7,604,227,17,1,0,9.4334089789e-04
7,605,227,17,1,0,8.4293143422e-04
7,607,1367,43,1,0,6.1550325715e-04
7,608,29,25,1,0,1.4025656221e-04
7,610,229,38,1,0,3.3667867187e-04
7,611,131,38,1,0,1.5826660324e-03
7,613,613,38,1,0,1.9382609149e-04
7,614,461,38,1,0,1.0478741102e-03
7,616,29,25,1,0,3.9927306519e-04
7,617,1619,131,1,0,1.5713073304e-04
7,619,1619,131,1,0,4.6769085635e-05
7,620,1619,87,1,0,5.9709667442e-04
7,622,1619,87,1,0,1.9802969803e-04
7,623,1777,131,1,0,1.0855075026e-03
7,625,67,25,1,0,2.0821015603e-04
7,626,1619,131,1,0,3.4062902369e-04
7,628,157,38,1,0,2.8719202973e-04
7,629,101,38,1,0,5.0061753041e-04
7,631,947,38,1,0,4.9458181006e-04
7,632,269,38,1,0,4.3823407610e-04
7,634,317,38,1,0,2.5651933764e-04
7,635,953,30,1,0,1.2240870048e-04
7,637,1367,56,1,0,2.2064808436e-04
7,638,1619,56,1,0,3.5524338930e-03
7,640,5,12,1,0,3.6758441598e-04
7,641,641,51,1,0,1.2523317118e-03
7,643,643,25,1,0,5.0358742846e-04
7,644,1619,100,1,0,1.2766183860e-04
7,646,1619,100,1,0,6.8921956472e-05
7,647,1093,38,1,0,1.9887966608e-03
7,649,1619,144,1,0,3.1038842052e-04
7,650,61,25,1,0,2.2975362378e-03
7,652,163,25,1,0,1.6772871451e-04
7,653,653,25,1,0,5.1068706850e-04
7,655,2213,144,1,0,2.3246869001e-04
7,656,1619,113,1,0,3.4766355039e-04
7,658,557,51,1,0,1.3169499682e-03
7,659,659,51,1,0,5.6753287255e-04
7,661,1619,113,1,0,1.7656342002e-03
7,662,373,25,1,0,2.1135194292e-04
7,664,1619,113,1,0,1.1675300394e-04
7,665,499,51,1,0,9.0564788695e-04
7,667,7229,144,1,0,3.1839251605e-04
7,668,1619,69,1,0,4.7342020752e-03
7,670,1619,69,1,0,6.1925042122e-04
7,671,13121,95,1,0,9.7867718567e-05
7,673,673,64,1,0,1.2173182661e-04
7,674,1619,113,1,0,2.7758773536e-03
7,676,1093,51,1,0,5.8770661671e-04
7,677,1093,51,1,0,4.1471030558e-04
7,679,1721,64,1,0,2.3589481683e-04
7,680,17,12,1,0,2.0379559845e-04
7,682,31,12,1,0,5.1027508986e-05
7,683,769,38,1,0,4.9050349573e-04
7,685,1619,126,1,0,6.7641731026e-04
7,686,1619,126,1,0,4.9876903690e-04
