y_idx,n_pre_struct,n_pre_weighted,max_weight,col_entropy,col_sum
338,486,486,2.500000e-01,1.404093,8.095238e-01
339,486,486,1.250000e-01,1.680777,4.761905e-01
340,486,486,6.250000e-02,1.680777,2.380952e-01
341,486,486,5.000000e-01,1.404093,1.619048e+00
342,486,486,2.500000e-01,1.680777,9.523810e-01
343,486,486,5.000000e-01,1.680777,1.904762e+00
344,486,486,2.500000e-01,1.404093,8.095238e-01
345,486,486,1.250000e-01,1.680777,4.761905e-01
346,486,486,6.250000e-02,1.680777,2.380952e-01
347,486,486,5.000000e-01,1.404093,1.619048e+00
348,486,486,2.500000e-01,1.680777,9.523810e-01
349,486,486,5.000000e-01,1.680777,1.904762e+00
350,486,486,2.500000e-01,1.404093,8.095238e-01
351,486,486,1.250000e-01,1.680777,4.761905e-01
352,486,486,6.250000e-02,1.680777,2.380952e-01
353,486,486,5.000000e-01,1.404093,1.619048e+00
354,486,486,2.500000e-01,1.680777,9.523810e-01
355,486,486,5.000000e-01,1.680777,1.904762e+00
356,486,486,2.500000e-01,1.404093,8.095238e-01
357,486,486,1.250000e-01,1.680777,4.761905e-01
358,486,486,6.250000e-02,1.680777,2.380952e-01
359,486,486,5.000000e-01,1.404093,1.619048e+00
360,486,486,2.500000e-01,1.680777,9.523810e-01
361,486,486,5.000000e-01,1.680777,1.904762e+00
362,486,486,2.500000e-01,1.404093,8.095238e-01
363,486,486,1.250000e-01,1.680777,4.761905e-01
364,486,486,6.250000e-02,1.680777,2.380952e-01
365,486,486,5.000000e-01,1.404093,1.619048e+00
366,486,486,2.500000e-01,1.680777,9.523810e-01
367,486,486,5.000000e-01,1.680777,1.904762e+00
368,486,486,2.500000e-01,1.404093,8.095238e-01
369,486,486,1.250000e-01,1.680777,4.761905e-01
370,486,486,6.250000e-02,1.680777,2.380952e-01
371,486,486,5.000000e-01,1.404093,1.619048e+00
372,486,486,2.500000e-01,1.680777,9.523810e-01
373,486,486,5.000000e-01,1.680777,1.904762e+00
374,486,486,2.500000e-01,1.404093,8.095238e-01
375,486,486,1.250000e-01,1.680777,4.761905e-01
