y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
837,1256,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
838,1258,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
839,1259,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
840,1261,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
841,1262,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
842,1264,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
843,1265,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
844,1267,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
845,1268,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
846,1270,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
847,1271,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
848,1273,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
849,1274,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
850,1276,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
851,1277,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
852,1279,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
853,1280,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
854,1282,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
855,1283,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
856,1285,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
857,1286,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
858,1288,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
859,1289,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
860,1291,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
861,1292,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
862,1294,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
863,1295,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
864,1297,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
865,1298,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
866,1300,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
867,1301,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
868,1303,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
869,1304,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
870,1306,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
871,1307,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
872,1309,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
873,1310,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
874,1312,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
875,1313,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
876,1315,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
877,1316,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
878,1318,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
879,1319,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
880,1321,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
881,1322,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
882,1324,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
883,1325,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
