k,a,b,df,N_eff,chi2,chi2_per_df,z_score
8,5,3,255,9999996,233.8356935058453,0.917002719630766,-0.937171243667815
8,5,4,795,9999996,795.6520982182616,1.0008202493311467,0.01635364068596021
10,1,1,0,9999983,0.0,nan,nan
10,1,2,0,9999983,0.0,nan,nan
10,1,3,0,9999983,0.0,nan,nan
10,1,4,0,9999983,0.0,nan,nan
10,2,1,1,9999983,0.4826693690216116,0.4826693690216116,-0.3658079972803338
10,2,2,5,9999983,2.21216665436352,0.44243333087270403,-0.8815903109178712
10,2,3,17,9999983,12.985746513189635,0.7638674419523315,-0.6884387933913603
10,2,4,53,9999983,48.739832878777335,0.9196194882788177,-0.41378400961228196
10,3,1,3,9999983,1.8429766974742987,0.6143255658247663,-0.4723527852829706
10,3,2,15,9999983,11.940535576448713,0.7960357050965808,-0.5585792262211932
10,3,3,51,9999983,43.209551291315194,0.8472461037512783,-0.7713693647590066
10,3,4,159,9999983,141.79786414412746,0.8918104663152671,-0.9646478778881638
10,4,1,7,9999983,7.2162996324309425,1.0308999474901346,0.057808508388694606
10,4,2,35,9999983,24.476058690153693,0.6993159625758197,-1.257851573648438
10,4,3,119,9999983,102.60742110352862,0.862247236164106,-1.0625730679315377
10,4,4,371,9999983,341.7803377335857,0.9212408025164036,-1.0726875479011846
10,5,1,15,9999983,10.333316228273848,0.6888877485515899,-0.8520159901725676
10,5,2,75,9999983,72.66912626253264,0.9689216835004353,-0.19031504372163272
10,5,3,255,9999983,278.6555457870826,1.0927668462238533,1.0474851737307815
10,5,4,795,9999983,802.3100876091174,1.0091950787536068,0.18332598187600177
15,1,1,0,9999712,0.0,nan,nan
15,1,2,0,9999712,0.0,nan,nan
15,1,3,0,9999712,0.0,nan,nan
15,1,4,0,9999712,0.0,nan,nan
15,2,1,1,9999712,0.2169461873860293,0.2169461873860293,-0.5537026609333187
15,2,2,5,9999712,0.28370208788117546,0.05674041757623509,-1.491424352619213
15,2,3,17,9999712,14.438149177431786,0.8493028927901051,-0.4393537914166212
15,2,4,53,9999712,44.230794629833014,0.8345432949025097,-0.8517405200150593
15,3,1,3,9999712,3.2393852386177464,1.0797950795392488,0.09772861442797891
15,3,2,15,9999712,10.356955307326869,0.6904636871551246,-0.8477001045605718
15,3,3,51,9999712,53.965456291054934,1.0581462017853909,0.2936239260392765
15,3,4,159,9999712,177.2588396345136,1.1148354693994567,1.023904883306739
15,4,1,7,9999712,9.370102364086536,1.3385860520123622,0.6334365012853407
15,4,2,35,9999712,31.613082370582067,0.9032309248737733,-0.40481408481393377
15,4,3,119,9999712,120.74186851616169,1.0146375505559806,0.11290856581142895
15,4,4,371,9999712,416.3712709491681,1.1222945308602914,1.6656317563110519
15,5,1,15,9999712,14.517827691748973,0.9678551794499316,-0.08803221661114057
15,5,2,75,9999712,60.445600582042296,0.8059413410938973,-1.1883617362218952
15,5,3,255,9999712,253.9251598766904,0.9957849406929036,-0.047594720638936626
15,5,4,795,9999712,838.8619008383698,1.0551722023124148,1.09999037879011
20,1,1,0,9997469,0.0,nan,nan
20,1,2,0,9997469,0.0,nan,nan
20,1,3,0,9997469,0.0,nan,nan
20,1,4,0,9997469,0.0,nan,nan
20,2,1,1,9997469,0.2988941410066322,0.2988941410066322,-0.49575670722382975
20,2,2,5,9997469,13.051271670992826,2.610254334198565,2.546035654112715
20,2,3,17,9997469,24.039723316321634,1.4141013715483315,1.2073025885438904
20,2,4,53,9997469,102.61402185771766,1.9361136199569369,4.818939800508545
20,3,1,3,9997469,1.4506186956320992,0.48353956521069974,-0.6325322687848658
20,3,2,15,9997469,28.730481778864377,1.9153654519242918,2.5068315318992265
20,3,3,51,9997469,58.394311089846624,1.144986491957777,0.732145895761681
20,3,4,159,9997469,249.76798425665382,1.570867825513546,5.090015805419653
20,4,1,7,9997469,5.263871161200346,0.7519815944571924,-0.4639999495775707
20,4,2,35,9997469,58.61789893440093,1.6747971124114551,2.8228788498764277
20,4,3,119,9997469,172.33224711454594,1.4481701438197137,3.4570161165052853
20,4,4,371,9997469,607.6848012094849,1.6379644237452424,8.688972402213805
20,5,1,15,9997469,19.602458782346208,1.3068305854897473,0.8402901650262592
20,5,2,75,9997469,163.90639587096103,2.1854186116128136,7.2591768251246584
