# E-FORM gate q=3 L=2: every nonzero entry, actual (build_compressed) vs formula R*N/D
# src(e,g)	dst(e',g')	actual	formula	s=e'-e	R(s)	N=actual*D/R(s)
(3,7)	(1,5)	10/567	10/567	4	20/189	1
(3,7)	(3,3)	65/1134	65/1134	0	65/189	1
(3,7)	(3,4)	65/1134	65/1134	0	65/189	1
(3,7)	(3,5)	65/1134	65/1134	0	65/189	1
(3,7)	(5,3)	10/567	10/567	2	20/189	1
(3,7)	(5,4)	10/567	10/567	2	20/189	1
(3,7)	(5,5)	10/567	10/567	2	20/189	1
(3,8)	(1,3)	10/567	10/567	4	20/189	1
(3,8)	(1,4)	10/567	10/567	4	20/189	1
(3,8)	(1,5)	10/567	10/567	4	20/189	1
(3,8)	(3,3)	65/1134	65/1134	0	65/189	1
(3,8)	(3,4)	65/1134	65/1134	0	65/189	1
(3,8)	(3,5)	65/1134	65/1134	0	65/189	1
(3,8)	(5,3)	10/567	10/567	2	20/189	1
(3,8)	(5,4)	10/567	10/567	2	20/189	1
(3,8)	(5,5)	10/567	10/567	2	20/189	1
(4,0)	(0,0)	20/189	20/189	2	20/189	6
(4,0)	(2,1)	10/189	10/189	4	20/189	3
(4,0)	(2,2)	10/189	10/189	4	20/189	3
(4,0)	(4,1)	65/378	65/378	0	65/189	3
(4,0)	(4,2)	65/378	65/378	0	65/189	3
(4,1)	(1,1)	8/567	8/567	3	16/189	1
(4,1)	(1,2)	8/567	8/567	3	16/189	1
(4,1)	(1,3)	8/567	8/567	3	16/189	1
(4,1)	(3,1)	17/567	17/567	5	34/189	1
(4,1)	(3,2)	17/567	17/567	5	34/189	1
(4,1)	(3,3)	17/567	17/567	5	34/189	1
(4,1)	(5,1)	17/567	17/567	1	34/189	1
(4,1)	(5,2)	17/567	17/567	1	34/189	1
(4,1)	(5,3)	17/567	17/567	1	34/189	1
(4,2)	(1,1)	8/567	8/567	3	16/189	1
(4,2)	(1,2)	8/567	8/567	3	16/189	1
(4,2)	(1,3)	8/567	8/567	3	16/189	1
(4,2)	(3,1)	17/567	17/567	5	34/189	1
(4,2)	(3,2)	17/567	17/567	5	34/189	1
(4,2)	(3,3)	17/567	17/567	5	34/189	1
(4,2)	(5,1)	17/567	17/567	1	34/189	1
(4,2)	(5,2)	17/567	17/567	1	34/189	1
(4,2)	(5,3)	17/567	17/567	1	34/189	1
(4,3)	(0,1)	20/189	20/189	2	20/189	6
(4,3)	(2,2)	10/189	10/189	4	20/189	3
(4,3)	(2,3)	10/189	10/189	4	20/189	3
(4,3)	(4,2)	65/378	65/378	0	65/189	3
(4,3)	(4,3)	65/378	65/378	0	65/189	3
(4,4)	(1,2)	8/567	8/567	3	16/189	1
(4,4)	(1,3)	8/567	8/567	3	16/189	1
(4,4)	(1,4)	8/567	8/567	3	16/189	1
(4,4)	(3,2)	17/567	17/567	5	34/189	1
(4,4)	(3,3)	17/567	17/567	5	34/189	1
(4,4)	(3,4)	17/567	17/567	5	34/189	1
(4,4)	(5,2)	17/567	17/567	1	34/189	1
(4,4)	(5,3)	17/567	17/567	1	34/189	1
(4,4)	(5,4)	17/567	17/567	1	34/189	1
(4,5)	(1,2)	8/567	8/567	3	16/189	1
(4,5)	(1,3)	8/567	8/567	3	16/189	1
(4,5)	(1,4)	8/567	8/567	3	16/189	1
(4,5)	(3,2)	17/567	17/567	5	34/189	1
(4,5)	(3,3)	17/567	17/567	5	34/189	1
(4,5)	(3,4)	17/567	17/567	5	34/189	1
(4,5)	(5,2)	17/567	17/567	1	34/189	1
