r,b,n_visits,coprime_frac,pearson_pi4
17,14,249444,1.000000,0.702207
17,15,226267,1.000000,0.927366
17,16,227193,1.000000,0.913876
17,17,216869,1.000000,0.978457
17,18,216555,0.999995,0.993217
17,19,220605,0.999991,0.997743
17,20,225104,0.999991,0.995968
17,21,221597,0.999910,0.998465
17,22,223602,0.999821,0.998409
17,23,224442,0.999688,0.999638
17,24,225797,0.999491,0.999693
17,25,226026,0.999040,0.999679
17,26,225581,0.997894,0.999765
17,27,226155,0.995441,0.999703
17,28,225667,0.991160,0.999733
17,29,226357,0.982302,0.999592
17,30,226279,0.965291,0.998681
17,31,224801,0.930352,0.992453
17,32,131119,1.000000,0.966179
17,33,67580,1.000000,0.901951
17,34,34085,1.000000,0.845490
17,35,16743,1.000000,0.849483
17,36,8341,1.000000,0.847760
17,37,4183,1.000000,0.839848
17,38,2119,1.000000,0.843731
17,39,1025,1.000000,0.807718
17,40,547,1.000000,0.872072
17,41,264,1.000000,0.841389
19,4,269950,1.000000,-0.062259
19,6,111614,1.000000,0.019485
19,7,104142,1.000000,0.018806
19,8,133212,1.000000,0.034515
19,9,106131,1.000000,0.185671
19,10,741762,1.000000,0.563357
19,11,178826,1.000000,0.609037
19,12,191568,1.000000,0.680085
19,13,196138,1.000000,0.923369
19,14,199002,1.000000,0.766152
19,15,224233,0.999996,0.820745
19,16,219497,0.999991,0.973571
19,17,209033,0.999990,0.991000
19,18,233502,0.999987,0.951841
19,19,216405,0.999986,0.996199
19,20,228797,0.999969,0.992850
19,21,226659,0.999951,0.998553
19,22,224679,0.999884,0.997681
19,23,224529,0.999786,0.998827
19,24,223389,0.999467,0.999720
19,25,225600,0.998887,0.999765
19,26,224345,0.997829,0.999792
19,27,225287,0.995561,0.999734
19,28,226313,0.991216,0.999711
19,29,225105,0.982559,0.999626
19,30,225571,0.964863,0.998902
19,31,225569,0.931258,0.992820
19,32,131355,1.000000,0.965418
19,33,67226,1.000000,0.903351
19,34,33845,1.000000,0.844928
19,35,16758,1.000000,0.853685
19,36,8529,1.000000,0.848462
19,37,4173,1.000000,0.842321
19,38,2111,1.000000,0.840869
19,39,1017,1.000000,0.852658
19,40,555,1.000000,0.836447
19,41,247,1.000000,0.833247
21,5,682267,1.000000,0.019674
21,6,35808,1.000000,-0.068566
21,7,64779,1.000000,-0.053328
21,8,115128,1.000000,-0.008649
21,9,220732,1.000000,0.319029
21,10,165108,1.000000,0.416929
21,11,232511,1.000000,0.417799
21,12,234174,1.000000,0.499950
21,13,200124,1.000000,0.895844
21,14,240591,1.000000,0.779456
21,15,244829,0.999992,0.809543
21,16,213589,0.999995,0.985343
21,17,217696,1.000000,0.986227
21,18,230025,0.999987,0.990327
21,19,227614,0.999982,0.996201
21,20,221714,0.999968,0.998493
21,21,223210,0.999928,0.997937
21,22,222650,0.999901,0.997660
21,23,226554,0.999753,0.998848
21,24,225544,0.999548,0.999467
21,25,227014,0.998877,0.999810
21,26,224692,0.997850,0.999789
21,27,225643,0.995803,0.999598
21,28,225466,0.991090,0.999795
21,29,226184,0.983248,0.999555
21,30,225301,0.965340,0.998928
21,31,225531,0.930156,0.992132
21,32,131397,1.000000,0.965601
21,33,67797,1.000000,0.905724
21,34,33859,1.000000,0.842660
21,35,16795,1.000000,0.850345
21,36,8237,1.000000,0.846951
21,37,4306,1.000000,0.839682
21,38,2170,1.000000,0.827598
21,39,1093,1.000000,0.836837
21,40,498,1.000000,0.850074
21,41,250,1.000000,0.847838
23,4,648368,1.000000,-0.108308
23,5,81675,1.000000,-0.082414
23,6,60840,1.000000,0.009804
23,7,160556,1.000000,-0.015851
23,8,124554,1.000000,0.011893
23,9,143283,1.000000,0.027962
23,10,1268948,1.000000,0.512877
23,11,187425,1.000000,0.296486
23,12,180578,1.000000,0.812196
23,13,225634,0.999996,0.576599
23,14,215476,1.000000,0.802093
23,15,235604,0.999996,0.770153
23,16,197617,1.000000,0.983304
23,17,228381,0.999996,0.946358
23,18,222724,0.999987,0.992307
23,19,219475,0.999986,0.997213
23,20,224539,0.999942,0.996471
23,21,223965,0.999929,0.998529
23,22,224337,0.999844,0.997466
23,23,222612,0.999713,0.999545
23,24,226398,0.999439,0.999221
23,25,224516,0.999016,0.999636
23,26,224802,0.997838,0.999565
23,27,225237,0.995636,0.999780
23,28,226307,0.991463,0.999779
23,29,225617,0.982293,0.999567
23,30,225866,0.965435,0.998914
23,31,225116,0.930107,0.992476
23,32,131053,1.000000,0.966059
23,33,67968,1.000000,0.903665
23,34,33778,1.000000,0.849486
23,35,16789,1.000000,0.847487
23,36,8526,1.000000,0.841111
23,37,4279,1.000000,0.848532
23,38,2082,1.000000,0.823320
23,39,1050,1.000000,0.842010
23,40,526,1.000000,0.826915
23,41,273,1.000000,0.852868
25,4,52039,1.000000,-0.116306
25,6,449166,1.000000,0.173167
25,7,26416,1.000000,-0.136780
25,8,624997,1.000000,0.009927
25,9,109128,1.000000,0.053455
25,10,175456,1.000000,0.433133
25,11,218225,1.000000,0.576240
25,12,186546,1.000000,0.765879
25,13,221259,1.000000,0.677293
25,14,219736,1.000000,0.778047
25,15,209337,1.000000,0.887786
25,16,218729,0.999991,0.904267
25,17,213977,0.999995,0.986712
25,18,236377,0.999992,0.984552
25,19,221685,0.999995,0.994999
25,20,225423,0.999973,0.993218
25,21,220576,0.999937,0.998341
25,22,225981,0.999907,0.998079
25,23,223723,0.999732,0.999523
25,24,224097,0.999523,0.999355
25,25,225613,0.998927,0.999800
25,26,224487,0.997911,0.999870
25,27,225697,0.995742,0.999794
25,28,225764,0.990880,0.999759
25,29,225330,0.982612,0.999523
25,30,225591,0.965056,0.998781
25,31,225084,0.930484,0.992898
25,32,131273,1.000000,0.965156
25,33,67822,1.000000,0.904640
25,34,33071,1.000000,0.845390
25,35,16813,1.000000,0.847323
25,36,8339,1.000000,0.850584
25,37,4272,1.000000,0.857123
25,38,2054,1.000000,0.863165
25,39,1082,1.000000,0.850406
25,40,561,1.000000,0.823715
25,41,259,1.000000,0.830566
27,5,114412,1.000000,-0.065048
27,6,424052,1.000000,0.108109
27,7,986605,1.000000,0.094711
27,8,577953,1.000000,0.184318
27,9,138673,1.000000,0.000914
27,10,177357,1.000000,0.517653
27,11,138998,1.000000,0.332725
27,12,234813,1.000000,0.607661
27,13,229774,1.000000,0.729563
27,14,202470,1.000000,0.727372
27,15,223781,0.999996,0.845810
27,16,197908,0.999995,0.968532
27,17,233474,0.999996,0.969733
27,18,229017,0.999987,0.987689
27,19,217730,0.999972,0.997127
27,20,223520,0.999928,0.988472
27,21,220834,0.999896,0.998061
27,22,225504,0.999889,0.998222
27,23,223746,0.999732,0.999085
27,24,225317,0.999534,0.999647
27,25,224800,0.999070,0.999871
27,26,224569,0.997702,0.999721
27,27,225510,0.995481,0.999836
27,28,225704,0.991662,0.999724
27,29,224789,0.982646,0.999475
27,30,225013,0.965740,0.998751
27,31,225366,0.930198,0.992429
27,32,131636,1.000000,0.965889
27,33,67067,1.000000,0.905723
27,34,33752,1.000000,0.839531
27,35,16688,1.000000,0.852884
27,36,8472,1.000000,0.854598
27,37,4150,1.000000,0.862026
27,38,2085,1.000000,0.852658
27,39,1121,1.000000,0.830143
27,40,491,1.000000,0.840917
27,41,246,1.000000,0.856423
29,4,358953,1.000000,-0.030506
29,5,616386,1.000000,-0.113555
29,6,138352,1.000000,0.148633
29,7,178697,1.000000,0.142887
29,8,564883,1.000000,0.202724
29,9,144366,1.000000,-0.100018
29,10,198104,1.000000,0.597697
29,11,690630,1.000000,0.527481
29,12,191407,1.000000,0.803122
29,13,203897,1.000000,0.838990
29,14,231889,0.999996,0.823412
29,15,202143,0.999995,0.859456
29,16,220323,1.000000,0.914711
29,17,210832,1.000000,0.989408
29,18,217206,0.999977,0.994509
29,19,222484,0.999991,0.995039
29,20,221837,0.999982,0.998805
29,21,229741,0.999913,0.994436
29,22,224369,0.999871,0.999612
29,23,222804,0.999704,0.999118
29,24,225181,0.999418,0.999569
29,25,224878,0.998906,0.999678
29,26,225261,0.997714,0.999741
29,27,224530,0.995564,0.999632
29,28,225998,0.991296,0.999726
29,29,226321,0.982520,0.999512
29,30,225274,0.965269,0.998724
29,31,225346,0.930671,0.992626
29,32,131091,1.000000,0.966095
29,33,67416,1.000000,0.903215
29,34,34152,1.000000,0.845987
29,35,16852,1.000000,0.852553
29,36,8361,1.000000,0.845416
29,37,4185,1.000000,0.840919
29,38,2147,1.000000,0.844656
29,39,1032,1.000000,0.834068
29,40,489,1.000000,0.879872
29,41,276,1.000000,0.813542
31,4,137616,1.000000,-0.085855
31,6,122651,1.000000,-0.100338
31,7,53845,1.000000,-0.043138
31,8,1173815,1.000000,0.192007
31,9,128527,1.000000,0.100249
31,10,185553,1.000000,0.338144
31,11,215926,1.000000,0.544662
31,12,217596,1.000000,0.574813
31,13,208023,1.000000,0.936257
31,14,189532,1.000000,0.946161
31,15,215954,1.000000,0.889596
31,16,203298,0.999995,0.982432
31,17,215557,0.999991,0.986183
31,18,213934,0.999986,0.988197
31,19,224310,0.999964,0.992976
31,20,226940,0.999960,0.998027
31,21,222381,0.999901,0.999272
31,22,223088,0.999843,0.999573
31,23,224125,0.999746,0.999715
31,24,222902,0.999466,0.999808
31,25,224796,0.998892,0.999719
31,26,224572,0.997720,0.999862
31,27,225430,0.995626,0.999737
31,28,226016,0.991279,0.999687
31,29,225619,0.982785,0.999606
31,30,225148,0.965858,0.998746
31,31,225546,0.930985,0.992956
31,32,131814,1.000000,0.967094
31,33,67564,1.000000,0.903029
31,34,33553,1.000000,0.840650
31,35,17032,1.000000,0.850083
31,36,8599,1.000000,0.843249
31,37,4259,1.000000,0.842100
31,38,2129,1.000000,0.841058
31,39,1083,1.000000,0.827099
31,40,585,1.000000,0.848944
31,41,259,1.000000,0.809439
