from_state,to_state,K_derived,K_empirical,diff
(1|26),(9|25),0.083435,0.103217,-0.019781
(1|26),(9|26),0.166871,0.146907,+0.019964
(1|26),(17|25),0.083388,0.102903,-0.019515
(1|26),(17|26),0.166776,0.146735,+0.020041
(1|26),(25|25),0.083160,0.103340,-0.020180
(1|26),(25|26),0.166320,0.145922,+0.020398
(1|27),(1|26),0.083350,0.104155,-0.020805
(1|27),(1|27),0.166700,0.146207,+0.020493
(1|27),(9|26),0.083435,0.105588,-0.022153
(1|27),(9|27),0.166871,0.145349,+0.021522
(1|27),(17|26),0.083388,0.102739,-0.019351
(1|27),(17|27),0.166776,0.145247,+0.021529
(1|27),(25|26),0.083160,0.103358,-0.020198
(1|27),(25|27),0.166320,0.147357,+0.018963
(1|28),(1|27),0.083350,0.104242,-0.020892
(1|28),(1|28),0.166700,0.145427,+0.021273
(1|28),(9|27),0.083435,0.104035,-0.020599
(1|28),(9|28),0.166871,0.146090,+0.020780
(1|28),(17|27),0.083388,0.104339,-0.020951
(1|28),(17|28),0.166776,0.145233,+0.021543
(1|28),(25|27),0.083160,0.104172,-0.021012
(1|28),(25|28),0.166320,0.146462,+0.019858
(1|29),(1|28),0.083350,0.104218,-0.020868
(1|29),(1|29),0.166700,0.145249,+0.021451
(1|29),(9|28),0.083435,0.103494,-0.020059
(1|29),(9|29),0.166871,0.145589,+0.021282
(1|29),(17|28),0.083388,0.104046,-0.020658
(1|29),(17|29),0.166776,0.146820,+0.019956
(1|29),(25|28),0.083160,0.103905,-0.020745
(1|29),(25|29),0.166320,0.146679,+0.019641
(1|30),(1|29),0.083350,0.103841,-0.020491
(1|30),(1|30),0.166700,0.146070,+0.020630
(1|30),(9|29),0.083435,0.104336,-0.020901
(1|30),(9|30),0.166871,0.146025,+0.020845
(1|30),(17|29),0.083388,0.103576,-0.020188
(1|30),(17|30),0.166776,0.144726,+0.022050
(1|30),(25|29),0.083160,0.104226,-0.021066
(1|30),(25|30),0.166320,0.147201,+0.019119
(1|31),(1|30),0.083350,0.103905,-0.020555
(1|31),(1|31),0.166700,0.144987,+0.021713
(1|31),(9|30),0.083435,0.105196,-0.021761
(1|31),(9|31),0.166871,0.146323,+0.020548
(1|31),(17|30),0.083388,0.104526,-0.021138
(1|31),(17|31),0.166776,0.146984,+0.019792
(1|31),(25|30),0.083160,0.103226,-0.020066
(1|31),(25|31),0.166320,0.144854,+0.021466
(1|32),(1|31),0.083350,0.120853,-0.037503
(1|32),(1|32),0.166700,0.127204,+0.039496
(1|32),(9|31),0.083435,0.120459,-0.037024
(1|32),(9|32),0.166871,0.127364,+0.039507
(1|32),(17|31),0.083388,0.121309,-0.037921
(1|32),(17|32),0.166776,0.129283,+0.037493
(1|32),(25|31),0.083160,0.123281,-0.040121
(1|32),(25|32),0.166320,0.130247,+0.036073
(1|33),(1|32),0.083350,0.126723,-0.043373
(1|33),(1|33),0.166700,0.124890,+0.041810
(1|33),(9|32),0.083435,0.125352,-0.041917
(1|33),(9|33),0.166871,0.122462,+0.044409
(1|33),(17|32),0.083388,0.124994,-0.041606
(1|33),(17|33),0.166776,0.124741,+0.042035
(1|33),(25|32),0.083160,0.127259,-0.044099
(1|33),(25|33),0.166320,0.123579,+0.042741
(1|34),(1|33),0.083350,0.125578,-0.042228
(1|34),(1|34),0.166700,0.123490,+0.043210
(1|34),(9|33),0.083435,0.124683,-0.041248
(1|34),(9|34),0.166871,0.124146,+0.042724
(1|34),(17|33),0.083388,0.126413,-0.043025
(1|34),(17|34),0.166776,0.125488,+0.041288
(1|34),(25|33),0.083160,0.126353,-0.043193
(1|34),(25|34),0.166320,0.123848,+0.042472
(1|35),(1|34),0.083350,0.122941,-0.039591
(1|35),(1|35),0.166700,0.125448,+0.041252
(1|35),(9|34),0.083435,0.124433,-0.040998
(1|35),(9|35),0.166871,0.127417,+0.039454
(1|35),(17|34),0.083388,0.124851,-0.041463
(1|35),(17|35),0.166776,0.123418,+0.043358
(1|35),(25|34),0.083160,0.127417,-0.044257
(1|35),(25|35),0.166320,0.124075,+0.042245
(1|36),(1|35),0.083350,0.123445,-0.040095
(1|36),(1|36),0.166700,0.126644,+0.040056
(1|36),(9|35),0.083435,0.121194,-0.037759
(1|36),(9|36),0.166871,0.132804,+0.034066
(1|36),(17|35),0.083388,0.127592,-0.044204
(1|36),(17|36),0.166776,0.127355,+0.039421
(1|36),(25|35),0.083160,0.118232,-0.035072
(1|36),(25|36),0.166320,0.122734,+0.043586
(1|37),(1|36),0.083350,0.126080,-0.042730
(1|37),(1|37),0.166700,0.120243,+0.046457
(1|37),(9|36),0.083435,0.126547,-0.043111
(1|37),(9|37),0.166871,0.129582,+0.037289
(1|37),(17|36),0.083388,0.120476,-0.037088
(1|37),(17|37),0.166776,0.123278,+0.043498
(1|37),(25|36),0.083160,0.130283,-0.047123
(1|37),(25|37),0.166320,0.123512,+0.042808
(1|38),(1|37),0.083350,0.109558,-0.026208
(1|38),(1|38),0.166700,0.137060,+0.029640
(1|38),(9|37),0.083435,0.127142,-0.043706
(1|38),(9|38),0.166871,0.115419,+0.051451
(1|38),(17|37),0.083388,0.115870,-0.032482
(1|38),(17|38),0.166776,0.130298,+0.036478
(1|38),(25|37),0.083160,0.131199,-0.048039
(1|38),(25|38),0.166320,0.133454,+0.032866
(1|39),(1|38),0.083350,0.148566,-0.065216
(1|39),(1|39),0.166700,0.117828,+0.048872
(1|39),(9|38),0.083435,0.113730,-0.030294
(1|39),(9|39),0.166871,0.144467,+0.022403
(1|39),(17|38),0.083388,0.128074,-0.044686
(1|39),(17|39),0.166776,0.134221,+0.032555
(1|39),(25|38),0.083160,0.100410,-0.017250
(1|39),(25|39),0.166320,0.112705,+0.053615
(1|40),(1|39),0.083350,0.112595,-0.029245
(1|40),(1|40),0.166700,0.118321,+0.048379
(1|40),(9|39),0.083435,0.150763,-0.067328
(1|40),(9|40),0.166871,0.114504,+0.052367
(1|40),(17|39),0.083388,0.122137,-0.038749
(1|40),(17|40),0.166776,0.139313,+0.027463
(1|40),(25|39),0.083160,0.112595,-0.029435
(1|40),(25|40),0.166320,0.129771,+0.036549
(1|41),(1|40),0.083350,0.127148,-0.043798
(1|41),(1|41),0.166700,0.158076,+0.008624
(1|41),(9|40),0.083435,0.099656,-0.016221
(1|41),(9|41),0.166871,0.127148,+0.039723
(1|41),(17|40),0.083388,0.158076,-0.074688
(1|41),(17|41),0.166776,0.120275,+0.046501
(1|41),(25|40),0.083160,0.123711,-0.040551
(1|41),(25|41),0.166320,0.085911,+0.080409
(1|42),(1|41),0.083350,0.135338,-0.051988
(1|42),(1|42),0.166700,0.127820,+0.038880
(1|42),(9|41),0.083435,0.112782,-0.029347
(1|42),(9|42),0.166871,0.165414,+0.001457
(1|42),(17|41),0.083388,0.120301,-0.036913
(1|42),(17|42),0.166776,0.112782,+0.053994
(1|42),(25|41),0.083160,0.127820,-0.044660
(1|42),(25|42),0.166320,0.097744,+0.068576
(1|43),(1|42),0.083350,0.101449,-0.018099
(1|43),(1|43),0.166700,0.159420,+0.007280
(1|43),(9|42),0.083435,0.101449,-0.018014
(1|43),(9|43),0.166871,0.072464,+0.094407
(1|43),(17|42),0.083388,0.173913,-0.090525
(1|43),(17|43),0.166776,0.144928,+0.021848
(1|43),(25|42),0.083160,0.144928,-0.061768
(1|43),(25|43),0.166320,0.101449,+0.064871
(3|5),(5|5),0.166698,0.000000,+0.166698
(3|5),(5|6),0.333396,0.000000,+0.333396
(3|5),(21|5),0.166635,1.000000,-0.833365
(3|5),(21|6),0.333271,0.000000,+0.333271
(3|6),(5|6),0.166698,1.000000,-0.833302
(3|6),(5|7),0.333396,0.000000,+0.333396
(3|6),(21|6),0.166635,0.000000,+0.166635
(3|6),(21|7),0.333271,0.000000,+0.333271
(3|7),(5|7),0.166698,0.315059,-0.148361
(3|7),(5|8),0.333396,0.000000,+0.333396
(3|7),(21|7),0.166635,0.157913,+0.008722
(3|7),(21|8),0.333271,0.527028,-0.193757
(3|8),(5|8),0.166698,0.826124,-0.659426
(3|8),(5|9),0.333396,0.047767,+0.285629
(3|8),(21|8),0.166635,0.000000,+0.166635
(3|8),(21|9),0.333271,0.126109,+0.207162
(3|9),(5|9),0.166698,0.193048,-0.026350
(3|9),(5|10),0.333396,0.087383,+0.246013
(3|9),(21|9),0.166635,0.445079,-0.278444
(3|9),(21|10),0.333271,0.274489,+0.058781
(3|10),(5|10),0.166698,0.180800,-0.014102
(3|10),(5|11),0.333396,0.330289,+0.003107
(3|10),(21|10),0.166635,0.123905,+0.042730
(3|10),(21|11),0.333271,0.365007,-0.031736
(3|11),(5|11),0.166698,0.782237,-0.615539
(3|11),(5|12),0.333396,0.069086,+0.264310
(3|11),(21|11),0.166635,0.057511,+0.109125
(3|11),(21|12),0.333271,0.091167,+0.242104
(3|12),(5|12),0.166698,0.151370,+0.015328
(3|12),(5|13),0.333396,0.372381,-0.038985
(3|12),(21|12),0.166635,0.154177,+0.012459
(3|12),(21|13),0.333271,0.322071,+0.011199
(3|13),(5|13),0.166698,0.232494,-0.065796
(3|13),(5|14),0.333396,0.324148,+0.009248
(3|13),(21|13),0.166635,0.156366,+0.010269
(3|13),(21|14),0.333271,0.286992,+0.046279
(3|14),(5|14),0.166698,0.171877,-0.005179
(3|14),(5|15),0.333396,0.295182,+0.038214
(3|14),(21|14),0.166635,0.211856,-0.045220
(3|14),(21|15),0.333271,0.321086,+0.012185
(3|15),(5|15),0.166698,0.186231,-0.019533
(3|15),(5|16),0.333396,0.283014,+0.050382
(3|15),(21|15),0.166635,0.274376,-0.107740
(3|15),(21|16),0.333271,0.256379,+0.076891
(3|16),(5|16),0.166698,0.211415,-0.044717
(3|16),(5|17),0.333396,0.289174,+0.044222
(3|16),(21|16),0.166635,0.209125,-0.042490
(3|16),(21|17),0.333271,0.290286,+0.042985
(3|17),(5|17),0.166698,0.209877,-0.043179
(3|17),(5|18),0.333396,0.272366,+0.061030
(3|17),(21|17),0.166635,0.200257,-0.033621
(3|17),(21|18),0.333271,0.317500,+0.015770
(3|18),(5|18),0.166698,0.200883,-0.034185
(3|18),(5|19),0.333396,0.285289,+0.048107
(3|18),(21|18),0.166635,0.222383,-0.055748
(3|18),(21|19),0.333271,0.291445,+0.041826
(3|19),(5|19),0.166698,0.203725,-0.037027
(3|19),(5|20),0.333396,0.304314,+0.029082
(3|19),(21|19),0.166635,0.216104,-0.049468
(3|19),(21|20),0.333271,0.275858,+0.057413
(3|20),(5|20),0.166698,0.204761,-0.038063
(3|20),(5|21),0.333396,0.286199,+0.047197
(3|20),(21|20),0.166635,0.216318,-0.049683
(3|20),(21|21),0.333271,0.292721,+0.040549
(3|21),(5|21),0.166698,0.211856,-0.045158
(3|21),(5|22),0.333396,0.297961,+0.035435
(3|21),(21|21),0.166635,0.201235,-0.034600
(3|21),(21|22),0.333271,0.288948,+0.044322
(3|22),(5|22),0.166698,0.207377,-0.040679
(3|22),(5|23),0.333396,0.292998,+0.040398
(3|22),(21|22),0.166635,0.205665,-0.039030
(3|22),(21|23),0.333271,0.293960,+0.039311
(3|23),(5|23),0.166698,0.205509,-0.038811
(3|23),(5|24),0.333396,0.289692,+0.043704
(3|23),(21|23),0.166635,0.212540,-0.045905
(3|23),(21|24),0.333271,0.292259,+0.041011
(3|24),(5|24),0.166698,0.204545,-0.037847
(3|24),(5|25),0.333396,0.290450,+0.042946
(3|24),(21|24),0.166635,0.208434,-0.041798
(3|24),(21|25),0.333271,0.296571,+0.036700
(3|25),(5|25),0.166698,0.206138,-0.039440
(3|25),(5|26),0.333396,0.289920,+0.043476
(3|25),(21|25),0.166635,0.210467,-0.043832
(3|25),(21|26),0.333271,0.293475,+0.039796
(3|26),(5|26),0.166698,0.207610,-0.040912
(3|26),(5|27),0.333396,0.292492,+0.040904
(3|26),(21|26),0.166635,0.206087,-0.039451
(3|26),(21|27),0.333271,0.293812,+0.039459
(3|27),(5|27),0.166698,0.208182,-0.041484
(3|27),(5|28),0.333396,0.292779,+0.040617
(3|27),(21|27),0.166635,0.205699,-0.039063
(3|27),(21|28),0.333271,0.293340,+0.039931
(3|28),(5|28),0.166698,0.205189,-0.038491
(3|28),(5|29),0.333396,0.293424,+0.039972
(3|28),(21|28),0.166635,0.208251,-0.041616
(3|28),(21|29),0.333271,0.293136,+0.040135
(3|29),(5|29),0.166698,0.206965,-0.040267
(3|29),(5|30),0.333396,0.293380,+0.040016
(3|29),(21|29),0.166635,0.208221,-0.041586
(3|29),(21|30),0.333271,0.291434,+0.041837
(3|30),(5|30),0.166698,0.208936,-0.042238
(3|30),(5|31),0.333396,0.292227,+0.041169
(3|30),(21|30),0.166635,0.207600,-0.040965
(3|30),(21|31),0.333271,0.291237,+0.042034
(3|31),(5|31),0.166698,0.209264,-0.042566
(3|31),(5|32),0.333396,0.290937,+0.042459
(3|31),(21|31),0.166635,0.208755,-0.042120
(3|31),(21|32),0.333271,0.291043,+0.042227
(3|32),(5|32),0.166698,0.241015,-0.074317
(3|32),(5|33),0.333396,0.258217,+0.075179
(3|32),(21|32),0.166635,0.243614,-0.076978
(3|32),(21|33),0.333271,0.257154,+0.076116
(3|33),(5|33),0.166698,0.249870,-0.083172
(3|33),(5|34),0.333396,0.247226,+0.086170
(3|33),(21|33),0.166635,0.253123,-0.086487
(3|33),(21|34),0.333271,0.249781,+0.083490
(3|34),(5|34),0.166698,0.252133,-0.085435
(3|34),(5|35),0.333396,0.251277,+0.082119
(3|34),(21|34),0.166635,0.248768,-0.082132
(3|34),(21|35),0.333271,0.247823,+0.085448
(3|35),(5|35),0.166698,0.251171,-0.084473
(3|35),(5|36),0.333396,0.250745,+0.082651
(3|35),(21|35),0.166635,0.254030,-0.087395
(3|35),(21|36),0.333271,0.244054,+0.089217
(3|36),(5|36),0.166698,0.253719,-0.087021
(3|36),(5|37),0.333396,0.250088,+0.083308
(3|36),(21|36),0.166635,0.246574,-0.079938
(3|36),(21|37),0.333271,0.249619,+0.083651
(3|37),(5|37),0.166698,0.245668,-0.078970
(3|37),(5|38),0.333396,0.252552,+0.080844
(3|37),(21|37),0.166635,0.250415,-0.083780
(3|37),(21|38),0.333271,0.251365,+0.081906
(3|38),(5|38),0.166698,0.262408,-0.095710
(3|38),(5|39),0.333396,0.247666,+0.085730
(3|38),(21|38),0.166635,0.248157,-0.081522
(3|38),(21|39),0.333271,0.241769,+0.091502
(3|39),(5|39),0.166698,0.257491,-0.090793
(3|39),(5|40),0.333396,0.260300,+0.073096
(3|39),(21|39),0.166635,0.229401,-0.062765
(3|39),(21|40),0.333271,0.252809,+0.080462
(3|40),(5|40),0.166698,0.270793,-0.104095
(3|40),(5|41),0.333396,0.274662,+0.058734
(3|40),(21|40),0.166635,0.212766,-0.046131
(3|40),(21|41),0.333271,0.241779,+0.091491
(3|41),(5|41),0.166698,0.278689,-0.111991
(3|41),(5|42),0.333396,0.254098,+0.079298
(3|41),(21|41),0.166635,0.258197,-0.091561
(3|41),(21|42),0.333271,0.209016,+0.124254
(3|42),(5|42),0.166698,0.254902,-0.088204
(3|42),(5|43),0.333396,0.248366,+0.085030
(3|42),(21|42),0.166635,0.235294,-0.068659
(3|42),(21|43),0.333271,0.261438,+0.071833
(3|43),(5|43),0.166698,0.129032,+0.037666
(3|43),(21|43),0.166635,0.241935,-0.075300
(5|2),(1|0),0.041799,1.000000,-0.958201
(5|5),(5|2),0.021035,0.000000,+0.021035
(5|5),(7|2),0.020870,1.000000,-0.979130
(5|5),(11|3),0.041604,0.000000,+0.041604
(5|5),(13|3),0.041025,0.000000,+0.041025
(5|6),(11|3),0.020802,0.000000,+0.020802
(5|6),(13|3),0.020513,0.000000,+0.020513
(5|6),(17|4),0.041413,0.000000,+0.041413
(5|6),(19|4),0.041612,1.000000,-0.958388
(5|6),(23|4),0.042324,0.000000,+0.042324
(5|6),(25|4),0.041440,0.000000,+0.041440
(5|6),(29|4),0.041721,0.000000,+0.041721
(5|6),(31|4),0.041927,0.000000,+0.041927
(5|7),(3|5),0.041957,0.000000,+0.041957
(5|7),(5|5),0.042071,0.544376,-0.502305
(5|7),(9|5),0.041572,0.000000,+0.041572
(5|7),(11|5),0.041604,0.292760,-0.251156
(5|7),(15|5),0.041691,0.000000,+0.041691
(5|7),(17|4),0.020707,0.000000,+0.020707
(5|7),(17|5),0.041413,0.000000,+0.041413
(5|7),(19|4),0.020806,0.000000,+0.020806
(5|7),(21|5),0.041611,0.000000,+0.041611
(5|7),(23|4),0.021162,0.000000,+0.021162
(5|7),(23|5),0.042324,0.000000,+0.042324
(5|7),(25|4),0.020720,0.162864,-0.142144
(5|7),(27|5),0.041160,0.000000,+0.041160
(5|7),(29|4),0.020861,0.000000,+0.020861
(5|7),(29|5),0.041721,0.000000,+0.041721
(5|7),(31|4),0.020963,0.000000,+0.020963
(5|8),(1|6),0.041799,0.000000,+0.041799
(5|8),(3|5),0.020979,0.000000,+0.020979
(5|8),(3|6),0.041957,0.000000,+0.041957
(5|8),(5|5),0.021035,0.000000,+0.021035
(5|8),(5|6),0.042071,0.000000,+0.042071
(5|8),(7|6),0.041740,0.000000,+0.041740
(5|8),(9|5),0.020786,0.000000,+0.020786
(5|8),(9|6),0.041572,0.032472,+0.009100
(5|8),(11|5),0.020802,0.000000,+0.020802
(5|8),(11|6),0.041604,0.000000,+0.041604
(5|8),(13|6),0.041025,0.000000,+0.041025
(5|8),(15|5),0.020845,0.000000,+0.020845
(5|8),(15|6),0.041691,0.005367,+0.036323
(5|8),(17|5),0.020707,0.000000,+0.020707
(5|8),(17|6),0.041413,0.000000,+0.041413
(5|8),(19|6),0.041612,0.000000,+0.041612
(5|8),(21|5),0.020805,0.000000,+0.020805
(5|8),(21|6),0.041611,0.000000,+0.041611
(5|8),(23|5),0.021162,0.009652,+0.011510
(5|8),(23|6),0.042324,0.000000,+0.042324
(5|8),(25|6),0.041440,0.000000,+0.041440
(5|8),(27|5),0.020580,0.000000,+0.020580
(5|8),(27|6),0.041160,0.153080,-0.111920
(5|8),(29|5),0.020861,0.799428,-0.778567
(5|8),(29|6),0.041721,0.000000,+0.041721
(5|8),(31|6),0.041927,0.000000,+0.041927
(5|9),(1|6),0.020899,0.096316,-0.075416
(5|9),(1|7),0.041799,0.000000,+0.041799
(5|9),(3|6),0.020979,0.000000,+0.020979
(5|9),(3|7),0.041957,0.018743,+0.023215
(5|9),(5|6),0.021035,0.000000,+0.021035
(5|9),(5|7),0.042071,0.013079,+0.028992
(5|9),(7|6),0.020870,0.000000,+0.020870
(5|9),(7|7),0.041740,0.000000,+0.041740
(5|9),(9|6),0.020786,0.000000,+0.020786
(5|9),(9|7),0.041572,0.199596,-0.158024
(5|9),(11|6),0.020802,0.000000,+0.020802
(5|9),(11|7),0.041604,0.000000,+0.041604
(5|9),(13|6),0.020513,0.111515,-0.091003
(5|9),(13|7),0.041025,0.000000,+0.041025
(5|9),(15|6),0.020845,0.000000,+0.020845
(5|9),(15|7),0.041691,0.000000,+0.041691
(5|9),(17|6),0.020707,0.000000,+0.020707
(5|9),(17|7),0.041413,0.173368,-0.131955
(5|9),(19|6),0.020806,0.056799,-0.035993
(5|9),(19|7),0.041612,0.000000,+0.041612
(5|9),(21|6),0.020805,0.000000,+0.020805
(5|9),(21|7),0.041611,0.093636,-0.052026
(5|9),(23|6),0.021162,0.000000,+0.021162
(5|9),(23|7),0.042324,0.170905,-0.128581
