r,N_r,ell,t_label,t_val,eta,J_size,max_concentration,concentration_ratio,entropy,entropy_normalized,r_eff,r_eff_ratio,low_freq_mass,classification
6,486,1,3,3.0,0.5,204,0.016695816541318843,3.405946574429044,4.943546163848225,0.9295664952220777,116,0.5686274509803921,0.2739741198127357,β
6,486,2,3,3.0,0.5,204,0.015754551639348986,3.213928534427193,4.971573662402751,0.9348366844218263,122,0.5980392156862745,0.24791982754060596,β
6,486,3,3,3.0,0.5,204,0.01942969226321081,3.963657221695005,4.9718809972244795,0.9348944745473001,122,0.5980392156862745,0.20881064557890583,β
6,486,0,3,3.0,0.25,99,0.04151508986770182,4.10999389690248,4.195624801158733,0.9130610164685572,59,0.5959595959595959,0.19972325470356955,β
6,486,1,3,3.0,0.25,99,0.03434214814806227,3.3998726666581645,4.171323505855239,0.907772515603279,55,0.5555555555555556,0.3183002433073608,β
6,486,2,3,3.0,0.25,99,0.04346160907391661,4.302699298317744,4.2586943400432515,0.926786347023901,60,0.6060606060606061,0.2984663196310829,β
6,486,3,3,3.0,0.25,99,0.04151508986770182,4.10999389690248,4.195624801158733,0.9130610164685572,59,0.5959595959595959,0.19972325470356955,β
8,4374,0,1,1.0,0.5,1835,0.002812102248730845,5.1602076264211005,7.182873354639591,0.9558303060057193,1154,0.6288828337874659,0.24654273357696557,β
8,4374,1,1,1.0,0.5,1835,0.002788640541252092,5.117155393197589,7.177974585441289,0.9551784231406483,1147,0.6250681198910082,0.2493408614469998,β
8,4374,2,1,1.0,0.5,1835,0.0026341606231597824,4.833684743498201,7.1718899730137124,0.9543687392340233,1135,0.6185286103542235,0.2620112171758109,β
8,4374,3,1,1.0,0.5,1835,0.002812102248730845,5.1602076264211005,7.182873354639591,0.9558303060057193,1154,0.6288828337874659,0.24654273357696557,β
8,4374,0,1,1.0,0.25,883,0.004869434691922207,4.299710832967309,6.394698414695725,0.942708513241613,523,0.5922989807474519,0.23007888246535152,β
8,4374,1,1,1.0,0.25,883,0.005505203309158643,4.8610945219870825,6.387738298747811,0.9416824506923349,524,0.5934314835787089,0.2504229632706864,β
8,4374,2,1,1.0,0.25,883,0.005819936765044203,5.1390041635340316,6.380200084328029,0.9405711646789339,515,0.5832389580973952,0.24359826527022851,β
8,4374,3,1,1.0,0.25,883,0.004869434691922207,4.299710832967309,6.394698414695725,0.942708513241613,523,0.5922989807474519,0.23007888246535152,β
8,4374,0,2,2.0,0.5,1835,0.002300918606154126,4.222185642292821,7.130311642476212,0.9488358798282263,1053,0.5738419618528611,0.25437591172133517,β
8,4374,1,2,2.0,0.5,1835,0.002368583260918411,4.346350283785284,7.1621332866636624,0.9530704097161367,1088,0.5929155313351498,0.24768070750677226,β
8,4374,2,2,2.0,0.5,1835,0.002166072084277247,3.974742274648748,7.158300736246361,0.9525604093782098,1087,0.5923705722070844,0.24606148796081506,β
8,4374,3,2,2.0,0.5,1835,0.002300918606154126,4.222185642292821,7.130311642476212,0.9488358798282263,1053,0.5738419618528611,0.25437591172133517,β
8,4374,0,2,2.0,0.25,883,0.00740899793863214,6.54214517981218,6.3987141314643985,0.9433005115094117,529,0.5990939977349944,0.25697024366363075,β
8,4374,1,2,2.0,0.25,883,0.005902886047296602,5.212248379762899,6.387225987786406,0.9416069256443306,518,0.5866364665911665,0.22484262434858232,β
8,4374,2,2,2.0,0.25,883,0.006067333937816543,5.357455867092007,6.390423170144268,0.942078255303946,522,0.5911664779161948,0.24161334387857808,β
8,4374,3,2,2.0,0.25,883,0.00740899793863214,6.54214517981218,6.3987141314643985,0.9433005115094117,529,0.5990939977349944,0.25697024366363075,β
8,4374,0,3,3.0,0.5,1836,0.002520691489703078,4.627989575094851,7.1522801459531955,0.9516902489581773,1083,0.5898692810457516,0.2649201934199351,β
8,4374,1,3,3.0,0.5,1836,0.002348335210894765,4.311543447202789,7.156781067396618,0.9522891465071576,1083,0.5898692810457516,0.2450262901125451,β
8,4374,2,3,3.0,0.5,1836,0.002346411547200694,4.308011600660475,7.152898638219448,0.9517725462181892,1083,0.5898692810457516,0.24853411209684215,β
8,4374,3,3,3.0,0.5,1836,0.002520691489703078,4.627989575094851,7.1522801459531955,0.9516902489581773,1083,0.5898692810457516,0.2649201934199351,β
8,4374,0,3,3.0,0.25,883,0.007491835956790211,6.615291149845756,6.376627256228298,0.9400444572022802,519,0.5877689694224235,0.2702495109611192,β
8,4374,1,3,3.0,0.25,883,0.0065613590479212764,5.793680039314487,6.407924980082841,0.9446583777985914,534,0.6047565118912798,0.2510945588419311,β
8,4374,2,3,3.0,0.25,883,0.006944748712245555,6.132213112912825,6.405777560447154,0.9443418044997769,534,0.6047565118912798,0.24571756051056315,β
8,4374,3,3,3.0,0.25,883,0.007491835956790211,6.615291149845756,6.376627256228298,0.9400444572022802,519,0.5877689694224235,0.2702495109611192,β
10,39366,0,1,1.0,0.5,16517,0.00035606565381944674,5.881136404135802,9.375081470756147,0.9652945928263917,10341,0.6260822183205182,0.24931272263525397,β
10,39366,1,1,1.0,0.5,16517,0.000331725075929633,5.479103079129748,9.37788991079201,0.9655837606580904,10319,0.6247502573106496,0.2537682525603082,β
10,39366,2,1,1.0,0.5,16517,0.00034975050994552593,5.776829172770252,9.375716435937118,0.9653599712935269,10305,0.6239026457589151,0.24724190892689918,β
10,39366,3,1,1.0,0.5,16517,0.00035606565381944674,5.881136404135802,9.375081470756147,0.9652945928263917,10341,0.6260822183205182,0.24931272263525397,β
10,39366,0,1,1.0,0.25,7947,0.0007562513795294718,6.009929713120712,8.579363646803085,0.9553272192619466,4691,0.5902856423807726,0.24565737324379527,β
10,39366,1,1,1.0,0.25,7947,0.000667718666421394,5.306360242050817,8.58165054523029,0.9555818694207624,4665,0.5870139675349189,0.24867655163149358,β
10,39366,2,1,1.0,0.25,7947,0.000680952439038908,5.411529033042202,8.58996206958297,0.9565073722639288,4731,0.5953189882974708,0.24645548178380478,β
10,39366,3,1,1.0,0.25,7947,0.0007562513795294718,6.009929713120712,8.579363646803085,0.9553272192619466,4691,0.5902856423807726,0.24565737324379527,β
10,39366,0,2,2.0,0.5,16516,0.0002837994119812337,4.687231088282055,9.347823405841622,0.9624939973854931,9735,0.5894284330346331,0.247844974890139,β
10,39366,1,2,2.0,0.5,16516,0.0003147505964186536,5.198420850450483,9.34866233401814,0.9625803772088039,9746,0.5900944538629208,0.24872119342203353,β
10,39366,2,2,2.0,0.5,16516,0.0002917178279993774,4.818011647237717,9.34891595933831,0.9626064916140136,9734,0.5893678856866069,0.2529417832607281,β
10,39366,3,2,2.0,0.5,16516,0.0002837994119812337,4.687231088282055,9.347823405841622,0.9624939973854931,9735,0.5894284330346331,0.247844974890139,β
10,39366,0,2,2.0,0.25,7946,0.0009198387003121799,7.309038312680581,8.573363713109124,0.9546724936206349,4603,0.5792851749307828,0.24921674276683253,β
10,39366,1,2,2.0,0.25,7946,0.0008633201054105225,6.859941557592012,8.58074554909293,0.955494485548422,4669,0.5875912408759124,0.24942784688829017,β
10,39366,2,2,2.0,0.25,7946,0.0007482513871770344,5.945605522508715,8.586393184081182,0.9561233684417313,4685,0.5896048326201863,0.2508294984890188,β
10,39366,3,2,2.0,0.25,7946,0.0009198387003121799,7.309038312680581,8.573363713109124,0.9546724936206349,4603,0.5792851749307828,0.24921674276683253,β
10,39366,0,3,3.0,0.5,16517,0.00030148074880183545,4.9795575279599165,9.351567453149574,0.9628734987674173,9748,0.5901798147363323,0.24953484786574145,β
10,39366,1,3,3.0,0.5,16517,0.00032355393387599284,5.344140325829773,9.346750897948468,0.962377567643386,9738,0.5895743779136647,0.24624630270705045,β
10,39366,2,3,3.0,0.5,16517,0.0002831704398390839,4.677126154822148,9.350703210783852,0.9627845130359199,9751,0.5903614457831325,0.2530220634251612,β
10,39366,3,3,3.0,0.5,16517,0.00030148074880183545,4.9795575279599165,9.351567453149574,0.9628734987674173,9748,0.5901798147363323,0.24953484786574145,β
10,39366,0,3,3.0,0.25,7947,0.0008873471839859265,7.051748071136157,8.588320671975975,0.9563245997558327,4727,0.5948156537058009,0.24905784524855443,β
10,39366,1,3,3.0,0.25,7947,0.0008769219459546262,6.968898704501414,8.581210756597997,0.9555328981836815,4680,0.5889014722536806,0.24652779742619207,β
10,39366,2,3,3.0,0.25,7947,0.0009372748801819834,7.4485234728062215,8.585427198898289,0.9560024064437046,4707,0.5922989807474519,0.2614309323188911,β
10,39366,3,3,3.0,0.25,7947,0.0008873471839859265,7.051748071136157,8.588320671975975,0.9563245997558327,4727,0.5948156537058009,0.24905784524855443,β
12,354294,0,1,1.0,0.5,148651,4.2925266467067405e-05,6.380883785596037,11.572649369217816,0.9717275081298481,92982,0.6255053783694694,0.24987670275127702,β
