start_mod27,current_mod27,visit_count,expected_pi3,obs_normalized
10,16,120440,164729.8935,0.012038
10,17,1277306,1316465.1269,0.127663
10,19,196067,243965.1250,0.019596
10,20,1211783,1317839.1483,0.121114
10,22,596726,658232.5634,0.059641
10,23,168425,121982.5625,0.016834
10,25,41635,60991.2812,0.004161
10,26,1820426,1777449.2914,0.181947
11,1,382768,367111.3546,0.038310
11,2,570512,734222.7093,0.057101
11,4,140750,199715.8948,0.014087
11,5,455231,328997.6343,0.045563
11,7,164499,91777.8387,0.016464
11,8,419750,399431.7895,0.042012
11,10,598543,657995.2685,0.059907
11,11,620121,487245.8013,0.062066
11,13,919741,887477.9789,0.092055
11,14,130214,183555.6773,0.013033
11,16,124725,164498.8171,0.012483
11,17,1325695,1314618.4431,0.132686
11,19,201136,243622.9006,0.020131
11,20,1242505,1315990.5371,0.124359
11,22,621163,657309.2216,0.062171
11,23,169703,121811.4503,0.016985
11,25,42725,60905.7252,0.004276
11,26,1861464,1774955.9578,0.186310
13,1,393153,366610.6536,0.039403
13,2,589796,733221.3073,0.059112
13,4,147039,199443.5034,0.014737
13,5,469248,328548.9163,0.047030
13,7,167091,91652.6634,0.016747
13,8,431558,398887.0069,0.043253
13,10,626778,657097.8327,0.062818
13,11,425666,486581.2496,0.042662
13,13,1081023,886267.5529,0.108345
13,14,135117,183305.3268,0.013542
13,16,132080,164274.4582,0.013238
13,17,1267625,1312825.4428,0.127047
13,19,195956,243290.6248,0.019640
13,20,1300488,1314195.6654,0.130341
13,22,591916,656412.7214,0.059324
13,23,167673,121645.3124,0.016805
13,25,41583,60822.6562,0.004168
13,26,1813828,1772535.1059,0.181790
14,1,395928,367287.3918,0.039609
14,2,593340,734574.7836,0.059358
14,4,186491,199811.6625,0.018656
14,5,454796,329155.3952,0.045498
14,7,167300,91821.8480,0.016737
14,8,513136,399623.3250,0.051334
14,10,598085,658310.7903,0.059832
14,11,411313,487479.4453,0.041148
14,13,920376,887903.5422,0.092074
14,14,320831,183643.6959,0.032096
14,16,124488,164577.6976,0.012454
14,17,1235578,1315248.8287,0.123607
14,19,189304,243739.7226,0.018938
