phase,G_nonzero_count,M,elapsed_s,max_G_off_naive_supp,max_G_on_naive_supp,max_G_overall,max_mag_off_supp,max_mag_on_supp,max_rel_dev_from_pred_short,median_mag_on_supp,min_mag_on_supp,naive_pred_mag,numerical_supp_size,off_supp_threshold,p,pass_cell,period,period_actual_of_(1+p)_mod_M,period_expected_p^r,predicted_mag_full,predicted_mag_short,predicted_supp_size,r,supp_symmetric_diff
1,,24389,0.0,,,,3.357355279210785e-14,156.16977940690066,3.6398475477577766e-16,156.16977940690063,156.16977940690057,,29,1e-10,29,True,841,,,4528.923602800118,156.16977940690063,29,2,0
1,,707281,0.007029533386230469,,,,9.381018253443614e-13,841.0000000000006,8.11083265552552e-16,841.0,840.9999999999993,,841,1e-10,29,True,24389,,,24389.0,841.0,841,3,0
1,,29791,0.0,,,,4.752510820721481e-14,172.60069524773073,3.2933481976548057e-16,172.60069524773067,172.6006952477306,,31,1e-10,31,True,961,,,5350.621552679651,172.60069524773067,31,2,0
1,,923521,0.009047508239746094,,,,1.150706854927448e-12,961.0000000000007,7.098033572629512e-16,961.0,960.9999999999994,,961,1e-10,31,True,29791,,,29791.0,961.0,961,3,0
2,,243,0.0,,,,6.909279903720026e-15,15.5884572681199,5.697667218914263e-16,15.588457268119894,15.588457268119887,,27,1e-10,3,True,81,,,46.76537180435969,15.588457268119896,27,4,0
2,,729,0.0,,,,1.2090528756626413e-14,27.000000000000014,5.26327952414889e-16,27.0,26.999999999999986,,81,1e-10,3,True,243,,,81.0,27.0,81,5,0
2,,2187,0.0,,,,3.0164546594762724e-14,46.76537180435972,1.0635645475306625e-15,46.76537180435968,46.76537180435964,,243,1e-10,3,True,729,,,140.29611541307906,46.76537180435969,243,6,0
2,,3125,0.0,,,,2.416701765413713e-14,55.90169943749477,5.084229945850416e-16,55.90169943749475,55.90169943749472,,125,1e-10,5,True,625,,,279.5084971874737,55.90169943749474,125,4,0
2,,15625,0.001508474349975586,,,,1.1617773290681471e-13,125.0000000000001,7.958078640513122e-16,125.00000000000001,124.99999999999993,,625,1e-10,5,True,3125,,,625.0,125.0,625,5,0
2,,78125,0.0045316219329833984,,,,6.121750609818234e-13,279.508497187474,1.016845989170083e-15,279.5084971874737,279.5084971874735,,3125,1e-10,5,True,15625,,,1397.5424859373686,279.5084971874737,3125,6,0
2,,16807,0.0010039806365966797,,,,9.345101185726374e-14,129.64181424216503,6.576977404214715e-16,129.64181424216494,129.64181424216486,,343,1e-10,7,True,2401,,,907.4926996951546,129.64181424216494,343,4,0
2,,117649,0.005031108856201172,,,,6.534906980325205e-13,343.0000000000002,8.286212661925366e-16,343.0,342.9999999999997,,2401,1e-10,7,True,16807,,,2401.0,343.0,2401,5,0
2,,823543,0.04019880294799805,,,,4.561594869506172e-12,907.4926996951554,1.0022060806422423e-15,907.4926996951546,907.4926996951536,,16807,1e-10,7,True,117649,,,6352.448897866082,907.4926996951546,16807,6,0
4_p2,2,8,0.0004999637603759766,1.4142135623730951,1.414213562373095,1.4142135623730951,,,,,,2.8284271247461903,,,2,,,2,4,,,,2,
4_p2,2,16,0.0,6.955527313080394e-16,3.695518130045147,3.695518130045147,,,,,,4.0,,,2,,,4,8,,,,3,
4_p2,4,32,0.0,4.965068306494546e-16,4.0,4.0,,,,,,5.656854249492381,,,2,,,8,16,,,,4,
4_r1,,9,0.0,,,,4.0029660424867215e-16,3.0,0.0,3.0,3.0,,1,1e-10,3,True,3,,,9.0,3.0,1,1,0
4_r1,,25,0.0,,,,4.847302891456678e-16,4.999999999999999,1.7763568394002506e-16,4.999999999999999,4.999999999999999,,1,1e-10,5,True,5,,,25.0,5.0,1,1,0
4_r1,,49,0.0,,,,1.1731656688241982e-15,7.0,0.0,7.0,7.0,,1,1e-10,7,True,7,,,49.0,7.0,1,1,0
4_r1,,121,0.0005030632019042969,,,,1.2474579732659882e-15,10.999999999999998,1.6148698540002277e-16,10.999999999999998,10.999999999999998,,1,1e-10,11,True,11,,,121.0,11.0,1,1,0
