n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
6477263,79,1.873418,1.000000,0.493671,0.240506,0.088608,0.037975,0.012658,0.000000,0.000000,0.000000,0.000000
8301281,97,1.824742,1.000000,0.443299,0.216495,0.103093,0.041237,0.020619,0.000000,0.000000,0.000000,0.000000
3407447,36,2.194444,1.000000,0.555556,0.361111,0.166667,0.027778,0.027778,0.027778,0.027778,0.000000,0.000000
3468245,65,1.923077,1.000000,0.461538,0.200000,0.123077,0.061538,0.046154,0.030769,0.000000,0.000000,0.000000
3813755,87,1.839080,1.000000,0.471264,0.206897,0.091954,0.045977,0.022989,0.000000,0.000000,0.000000,0.000000
5326373,37,2.189189,1.000000,0.486486,0.324324,0.189189,0.108108,0.027027,0.027027,0.027027,0.000000,0.000000
3795637,31,2.290323,1.000000,0.580645,0.290323,0.161290,0.096774,0.032258,0.032258,0.032258,0.032258,0.032258
4865557,54,2.000000,1.000000,0.481481,0.259259,0.185185,0.055556,0.018519,0.000000,0.000000,0.000000,0.000000
8063123,68,1.926471,1.000000,0.500000,0.279412,0.088235,0.044118,0.014706,0.000000,0.000000,0.000000,0.000000
3945785,48,2.041667,1.000000,0.500000,0.250000,0.145833,0.041667,0.020833,0.020833,0.020833,0.020833,0.020833
337309,25,2.320000,1.000000,0.600000,0.320000,0.120000,0.120000,0.080000,0.040000,0.040000,0.000000,0.000000
4371259,61,1.950820,1.000000,0.524590,0.213115,0.114754,0.065574,0.016393,0.016393,0.000000,0.000000,0.000000
1323889,40,2.100000,1.000000,0.500000,0.300000,0.125000,0.100000,0.075000,0.000000,0.000000,0.000000,0.000000
3215687,84,1.845238,1.000000,0.476190,0.226190,0.095238,0.047619,0.000000,0.000000,0.000000,0.000000,0.000000
5253655,40,2.150000,1.000000,0.575000,0.275000,0.150000,0.075000,0.025000,0.025000,0.025000,0.000000,0.000000
651889,8,4.000000,1.000000,0.625000,0.500000,0.500000,0.375000,0.375000,0.375000,0.250000,0.000000,0.000000
273181,73,1.835616,1.000000,0.465753,0.232877,0.095890,0.027397,0.013699,0.000000,0.000000,0.000000,0.000000
4886587,59,1.966102,1.000000,0.474576,0.288136,0.101695,0.033898,0.016949,0.016949,0.016949,0.016949,0.000000
7664585,75,1.893333,1.000000,0.493333,0.240000,0.106667,0.040000,0.013333,0.000000,0.000000,0.000000,0.000000
2346077,42,2.095238,1.000000,0.547619,0.238095,0.166667,0.095238,0.023810,0.023810,0.000000,0.000000,0.000000
