type,key,j,p_emp,n_samples
sigma_band,50-75,2,0.24541564,10226284
sigma_band,50-75,3,0.12162786,10226284
sigma_band,50-75,4,0.07435956,10226284
sigma_band,50-75,5,0.02918704,10226284
sigma_band,50-75,6,0.01183098,10226284
sigma_band,50-75,7,0.00574940,10226284
sigma_band,50-75,8,0.00240566,10226284
sigma_band,50-75,9,0.00121745,10226284
sigma_band,50-75,10,0.00083129,10226284
sigma_band,75-95,1,0.53132796,10579688
sigma_band,75-95,2,0.24481932,10579688
sigma_band,75-95,3,0.11405951,10579688
sigma_band,75-95,4,0.06689536,10579688
sigma_band,75-95,5,0.02552088,10579688
sigma_band,75-95,6,0.00971607,10579688
sigma_band,75-95,7,0.00444947,10579688
sigma_band,75-95,8,0.00166990,10579688
sigma_band,75-95,9,0.00084152,10579688
sigma_band,75-95,10,0.00047412,10579688
sigma_band,95-100,1,0.55492447,3598396
sigma_band,95-100,2,0.24334704,3598396
sigma_band,95-100,3,0.10773245,3598396
sigma_band,95-100,4,0.05824984,3598396
sigma_band,95-100,5,0.02208595,3598396
sigma_band,95-100,6,0.00806137,3598396
sigma_band,95-100,7,0.00344626,3598396
sigma_band,95-100,8,0.00116913,3598396
sigma_band,95-100,9,0.00056914,3598396
sigma_band,95-100,10,0.00027957,3598396
