K,convention,r,D_K,D_avg,abs_diff,lambda_PF,n_absorbing
8,fine_cylinder,19,1.015530,0.627469,0.388061,0.992254,1
8,fine_cylinder,21,0.874321,0.930738,0.056417,0.992254,1
8,fine_cylinder,23,1.015762,1.398056,0.382294,0.992254,1
8,fine_cylinder,25,1.007572,0.543950,0.463622,0.992254,1
8,fine_cylinder,27,1.020548,0.801717,0.218831,0.992254,1
8,fine_cylinder,29,0.994912,1.353787,0.358875,0.992254,1
8,fine_cylinder,31,1.020778,0.766633,0.254145,0.992254,1
10,cylinder21,1,1.050193,1.609081,0.558888,0.937500,32
10,cylinder21,3,1.068238,1.236401,0.168163,0.937500,32
10,cylinder21,5,1.058366,1.863896,0.805530,0.937500,32
10,cylinder21,7,1.068238,0.737504,0.330734,0.937500,32
10,cylinder21,9,1.070866,0.695791,0.375075,0.937500,32
10,cylinder21,11,1.061981,0.657507,0.404474,0.937500,32
10,cylinder21,13,1.066667,0.557318,0.509349,0.937500,32
10,cylinder21,15,1.070339,1.057805,0.012534,0.937500,32
10,cylinder21,17,1.054264,1.131972,0.077708,0.937500,32
10,cylinder21,19,1.068238,0.627469,0.440769,0.937500,32
10,cylinder21,21,0.000000,0.930738,,0.937500,32
10,cylinder21,23,1.068238,1.398056,0.329818,0.937500,32
10,cylinder21,25,1.079365,0.543950,0.535415,0.937500,32
10,cylinder21,27,1.078830,0.801717,0.277113,0.937500,32
10,cylinder21,29,1.058366,1.353787,0.295421,0.937500,32
10,cylinder21,31,1.078830,0.766633,0.312197,0.937500,32
10,values,1,0.857623,1.609081,0.751458,0.990818,5
10,values,3,1.026127,1.236401,0.210274,0.990818,5
10,values,5,0.971954,1.863896,0.891942,0.990818,5
10,values,7,1.029968,0.737504,0.292464,0.990818,5
10,values,9,1.017326,0.695791,0.321535,0.990818,5
10,values,11,1.023437,0.657507,0.365930,0.990818,5
10,values,13,1.011297,0.557318,0.453979,0.990818,5
10,values,15,1.030725,1.057805,0.027080,0.990818,5
10,values,17,0.959263,1.131972,0.172709,0.990818,5
10,values,19,1.028671,0.627469,0.401202,0.990818,5
10,values,21,0.915200,0.930738,0.015538,0.990818,5
10,values,23,1.028177,1.398056,0.369879,0.990818,5
10,values,25,1.022046,0.543950,0.478096,0.990818,5
10,values,27,1.039132,0.801717,0.237415,0.990818,5
10,values,29,1.004701,1.353787,0.349086,0.990818,5
10,values,31,1.038621,0.766633,0.271988,0.990818,5
