k,lift,K_power_m,rank,lambda_real,lambda_imag,abs_lambda,arg_lambda
4,conditional_B,2,5,-1.2465504769845946e-09,-2.451855007373712e-09,2.7505419591153427e-09,-2.0411502091829723
4,conditional_B,2,6,1.2465505877471206e-09,2.4518548088785094e-09,2.750541832372917e-09,1.1004423758047108
4,conditional_B,2,7,1.2465505877471206e-09,-2.4518548088785094e-09,2.750541832372917e-09,-1.1004423758047108
4,conditional_B,2,8,-1.937708355130276e-09,5.875535009444263e-10,2.024829075752749e-09,2.847183611318544
4,conditional_B,2,9,-1.937708355130276e-09,-5.875535009444263e-10,2.024829075752749e-09,-2.847183611318544
4,conditional_B,2,10,1.937708255353453e-09,5.875535392124055e-10,2.0248289913733326e-09,0.29440907465627036
5,uniform_A,1,1,1.0000000000000002,0.0,1.0000000000000002,0.0
5,uniform_A,1,2,0.000338158407297885,0.0,0.000338158407297885,0.0
5,uniform_A,1,3,0.00010442006633126406,0.00032158291234182557,0.00033811110564853657,1.2568298989298863
5,uniform_A,1,4,0.00010442006633126406,-0.00032158291234182557,0.00033811110564853657,-1.2568298989298863
5,uniform_A,1,5,-0.000273499269979879,0.00019865896846692443,0.00033803437167227425,2.5133935066850484
5,uniform_A,1,6,-0.000273499269979879,-0.00019865896846692443,0.00033803437167227425,-2.5133935066850484
5,uniform_A,1,7,-5.466497908377006e-05,0.0,5.466497908377006e-05,3.141592653589793
5,uniform_A,1,8,2.171828226854357e-09,5.466280913655369e-05,5.466280917969855e-05,1.570756595426165
5,uniform_A,1,9,2.171828226854357e-09,-5.466280913655369e-05,5.466280917969855e-05,-1.570756595426165
5,uniform_A,1,10,5.466063542662318e-05,0.0,5.466063542662318e-05,0.0
5,uniform_A,2,1,1.0000000000000009,0.0,1.0000000000000009,0.0
5,uniform_A,2,2,-8.524223238812383e-07,1.4764415175047813e-06,1.7048470233023585e-06,2.094394297911472
5,uniform_A,2,3,-8.524223238812383e-07,-1.4764415175047813e-06,1.7048470233023585e-06,-2.094394297911472
5,uniform_A,2,4,1.7048446479547171e-06,0.0,1.7048446479547171e-06,0.0
5,uniform_A,2,5,-2.0175664151276588e-17,3.759533338232507e-09,3.759533338232507e-09,1.5707963321614309
5,uniform_A,2,6,-2.0175664151276588e-17,-3.759533338232507e-09,3.759533338232507e-09,-1.5707963321614309
5,uniform_A,2,7,-2.9816937764453954e-09,0.0,2.9816937764453954e-09,3.141592653589793
5,uniform_A,2,8,2.9816936857946547e-09,0.0,2.9816936857946547e-09,0.0
5,uniform_A,2,9,-1.1762183007235404e-09,2.688953266713943e-09,2.934954712006398e-09,1.983144726738599
5,uniform_A,2,10,-1.1762183007235404e-09,-2.688953266713943e-09,2.934954712006398e-09,-1.983144726738599
5,conditional_B,1,1,1.0000000000000002,0.0,1.0000000000000002,0.0
5,conditional_B,1,2,0.00040392872216239305,0.0,0.00040392872216239305,0.0
5,conditional_B,1,3,0.00012473796937770786,0.00038413209122967814,0.0004038774870142674,1.256811583837606
5,conditional_B,1,4,0.00012473796937770786,-0.00038413209122967814,0.0004038774870142674,-1.256811583837606
5,conditional_B,1,5,-0.00032670233045828346,0.00023730932705268338,0.00040379466246233484,2.5133819331719427
5,conditional_B,1,6,-0.00032670233045828346,-0.00023730932705268338,0.00040379466246233484,-2.5133819331719427
5,conditional_B,1,7,4.985666822395014e-05,-4.985757760326351e-05,7.050861940825733e-05,-0.7854072832509437
5,conditional_B,1,8,4.985666822395014e-05,4.985757760326351e-05,7.050861940825733e-05,0.7854072832509437
5,conditional_B,1,9,-4.985666822392356e-05,-4.985575874578457e-05,7.050733328178186e-05,-2.356203611203302
5,conditional_B,1,10,-4.985666822392356e-05,4.985575874578457e-05,7.050733328178186e-05,2.356203611203302
5,conditional_B,2,1,0.9999999999999994,0.0,0.9999999999999994,0.0
5,conditional_B,2,2,-1.7673979496772059e-06,0.0,1.7673979496772059e-06,3.141592653589793
5,conditional_B,2,3,8.836989748011815e-07,1.5305963317238925e-06,1.767384793629077e-06,1.0471932535393085
5,conditional_B,2,4,8.836989748011815e-07,-1.5305963317238925e-06,1.767384793629077e-06,-1.0471932535393085
5,conditional_B,2,5,4.570946260939355e-16,5.2035626320384035e-09,5.203562632038423e-09,1.5707962389522667
5,conditional_B,2,6,4.570946260939355e-16,-5.2035626320384035e-09,5.203562632038423e-09,-1.5707962389522667
5,conditional_B,2,7,-5.271285890155817e-16,5.093502351377942e-09,5.093502351377969e-09,1.5707964302852953
5,conditional_B,2,8,-5.271285890155817e-16,-5.093502351377942e-09,5.093502351377969e-09,-1.5707964302852953
5,conditional_B,2,9,-3.788777145560142e-09,1.90787595753904e-09,4.242030519465221e-09,2.6751012413988495
5,conditional_B,2,10,-3.788777145560142e-09,-1.90787595753904e-09,4.242030519465221e-09,-2.6751012413988495
6,uniform_A,1,1,1.0000000000000004,0.0,1.0000000000000004,0.0
6,uniform_A,1,2,0.0010662680000564544,0.0006164522179606932,0.0012316415001830075,0.5241908967532792
6,uniform_A,1,3,0.0010662680000564544,-0.0006164522179606932,0.0012316415001830075,-0.5241908967532792
6,uniform_A,1,4,-1.4626199412054974e-06,0.0012303781367389063,0.0012303790060880409,1.5719850826810502
6,uniform_A,1,5,-1.4626199412054974e-06,-0.0012303781367389063,0.0012303790060880409,-1.5719850826810502
6,uniform_A,1,6,-0.0010648053801165763,0.0006139188773832895,0.0012291081667342239,2.618590527208296
6,uniform_A,1,7,-0.0010648053801165763,-0.0006139188773832895,0.0012291081667342239,-2.618590527208296
6,uniform_A,1,8,0.00025138896198841,-0.00018271773114427958,0.00031077673575112324,-0.628508458782125
6,uniform_A,1,9,0.00025138896198841,0.00018271773114427958,0.00031077673575112324,0.628508458782125
6,uniform_A,1,10,-9.609244389796059e-05,0.00029542921316599245,0.0003106640915299998,1.885266852569769
6,uniform_A,2,1,1.0000000000000002,0.0,1.0000000000000002,0.0
6,uniform_A,2,2,-2.599825950809079e-07,-1.5687876338262028e-06,1.5901841370706159e-06,-1.7350257104119702
6,uniform_A,2,3,-2.599825950809079e-07,1.5687876338262028e-06,1.5901841370706159e-06,1.7350257104119702
6,uniform_A,2,4,-1.2285781593644425e-06,-1.0095755732099943e-06,1.5901720446824645e-06,-2.4537336449605283
6,uniform_A,2,5,-1.2285781593644425e-06,1.0095755732099943e-06,1.5901720446824645e-06,2.4537336449605283
6,uniform_A,2,6,1.4885607519360896e-06,5.592120741283802e-07,1.5901356093288086e-06,0.35936056164272867
6,uniform_A,2,7,1.4885607519360896e-06,-5.592120741283802e-07,1.5901356093288086e-06,-0.35936056164272867
6,uniform_A,2,8,1.430542953978954e-06,3.634245063959419e-07,1.4759845917312165e-06,0.24878354249099963
6,uniform_A,2,9,1.430542953978954e-06,-3.634245063959419e-07,1.4759845917312165e-06,-0.24878354249099963
6,uniform_A,2,10,-1.0300272130206022e-06,-1.0571283320967986e-06,1.4759662496428393e-06,-2.343210505273086
6,conditional_B,1,1,0.9999999999999996,0.0,0.9999999999999996,0.0
6,conditional_B,1,2,0.0010283213423963483,0.0005945926971026519,0.0011878490049983766,0.5242484452519898
6,conditional_B,1,3,0.0010283213423963483,-0.0005945926971026519,0.0011878490049983766,-0.5242484452519898
6,conditional_B,1,4,-1.5245906367798477e-06,0.0011865119911724118,0.001186512970671847,1.5720812609624915
6,conditional_B,1,5,-1.5245906367798477e-06,-0.0011865119911724118,0.001186512970671847,-1.5720812609624915
6,conditional_B,1,6,-0.0010267967517676915,0.0005919522753038127,0.0011852084481972119,2.6186289288928606
6,conditional_B,1,7,-0.0010267967517676915,-0.0005919522753038127,0.0011852084481972119,-2.6186289288928606
6,conditional_B,1,8,0.000127018256537524,-0.0003451045527259364,0.0003677373924501027,-1.2181262395558807
6,conditional_B,1,9,0.000127018256537524,0.0003451045527259364,0.0003677373924501027,1.2181262395558807
6,conditional_B,1,10,-0.000288981468880795,0.00022740904995566437,0.00036772974500064545,2.474870344584661
6,conditional_B,2,1,0.9999999999999997,0.0,0.9999999999999997,0.0
6,conditional_B,2,2,-1.952203777849133e-06,0.0,1.952203777849133e-06,3.141592653589793
6,conditional_B,2,3,9.761018897567696e-07,-1.6906323655245761e-06,1.952181521925141e-06,-1.0471909685868723
6,conditional_B,2,4,9.761018897567696e-07,1.6906323655245761e-06,1.952181521925141e-06,1.0471909685868723
6,conditional_B,2,5,3.4777774522480755e-07,1.685381794446859e-06,1.7208896400195353e-06,1.3673029687884404
6,conditional_B,2,6,3.4777774522480755e-07,-1.685381794446859e-06,1.7208896400195353e-06,-1.3673029687884404
6,conditional_B,2,7,1.2856798463413274e-06,-1.1438877156257174e-06,1.7208869147180128e-06,-0.72710323092741
6,conditional_B,2,8,1.2856798463413274e-06,1.1438877156257174e-06,1.7208869147180128e-06,0.72710323092741
6,conditional_B,2,9,-1.633457592355881e-06,5.414940795112564e-07,1.7208717396049056e-06,2.8214914129158672
6,conditional_B,2,10,-1.633457592355881e-06,-5.414940795112564e-07,1.7208717396049056e-06,-2.8214914129158672
7,uniform_A,1,1,1.0000000000000002,0.0,1.0000000000000002,0.0
7,uniform_A,1,2,0.0029435693565063063,0.0,0.0029435693565063063,0.0
7,uniform_A,1,3,0.0018329011957083636,0.002301962950748608,0.0029425431551378116,0.8983559409544933
7,uniform_A,1,4,0.0018329011957083636,-0.002301962950748608,0.0029425431551378116,-0.8983559409544933
7,uniform_A,1,5,-0.0006570489916184402,0.0028657489915324785,0.0029401072531212574,1.7961774873214942
7,uniform_A,1,6,-0.0006570489916184402,-0.0028657489915324785,0.0029401072531212574,-1.7961774873214942
7,uniform_A,1,7,-0.0026476368823458944,-0.0012735661737686627,0.002938018355920541,-2.6932440462821674
7,uniform_A,1,8,-0.0026476368823458944,0.0012735661737686627,0.002938018355920541,2.6932440462821674
7,uniform_A,1,9,0.001134450714781674,0.0,0.001134450714781674,0.0
7,uniform_A,1,10,0.0005658297968047319,0.0009824762307918873,0.001133764924057504,1.0482693230883822
7,uniform_A,2,1,0.9999999999999993,0.0,0.9999999999999993,0.0
7,uniform_A,2,2,-2.1810663591137087e-05,2.181374419267257e-05,3.084711464609144e-05,2.356123873725856
7,uniform_A,2,3,-2.1810663591137087e-05,-2.181374419267257e-05,3.084711464609144e-05,-2.356123873725856
7,uniform_A,2,4,2.1810663593761256e-05,2.1807575210755695e-05,3.084275251940055e-05,0.7853273585441336
7,uniform_A,2,5,2.1810663593761256e-05,-2.1807575210755695e-05,3.084275251940055e-05,-0.7853273585441336
7,uniform_A,2,6,1.1328522729856512e-06,1.9622089953881712e-06,2.2657489741785196e-06,1.0472088722007604
7,uniform_A,2,7,1.1328522729856512e-06,-1.9622089953881712e-06,2.2657489741785196e-06,-1.0472088722007604
7,uniform_A,2,8,-2.2657045536778102e-06,0.0,2.2657045536778102e-06,3.141592653589793
7,uniform_A,2,9,-1.061423004727427e-06,1.8384474619312538e-06,2.122853707923857e-06,2.0943930086500195
7,uniform_A,2,10,-1.061423004727427e-06,-1.8384474619312538e-06,2.122853707923857e-06,-2.0943930086500195
7,conditional_B,1,1,1.0,0.0,1.0,0.0
7,conditional_B,1,2,0.002844096900680708,0.0,0.002844096900680708,0.0
7,conditional_B,1,3,0.001771881006324444,0.0022238214605435225,0.0028434036275117977,0.8980261370654953
7,conditional_B,1,4,0.001771881006324444,-0.0022238214605435225,0.0028434036275117977,-0.8980261370654953
7,conditional_B,1,5,-0.0006336976869112273,0.0027705978391981715,0.0028421444623674946,1.7956509316623754
7,conditional_B,1,6,-0.0006336976869112273,-0.0027705978391981715,0.0028421444623674946,-1.7956509316623754
7,conditional_B,1,7,-0.0025602317698930014,0.0012323843313741237,0.002841400685539774,2.692970734593535
7,conditional_B,1,8,-0.0025602317698930014,-0.0012323843313741237,0.002841400685539774,-2.692970734593535
7,conditional_B,1,9,-0.0010908603261106215,0.0006314278397207086,0.0012604274544203377,2.6168812498239795
7,conditional_B,1,10,-0.0010908603261106215,-0.0006314278397207086,0.0012604274544203377,-2.6168812498239795
7,conditional_B,2,1,0.9999999999999999,0.0,0.9999999999999999,0.0
7,conditional_B,2,2,1.8256580794363852e-05,1.8281516837760008e-05,2.583634262411067e-05,0.7860806302236035
7,conditional_B,2,3,1.8256580794363852e-05,-1.8281516837760008e-05,2.583634262411067e-05,-0.7860806302236035
7,conditional_B,2,4,-1.825658239731482e-05,1.8231324750031976e-05,2.5800852756664338e-05,2.3568867097583133
7,conditional_B,2,5,-1.825658239731482e-05,-1.8231324750031976e-05,2.5800852756664338e-05,-2.3568867097583133
7,conditional_B,2,6,-2.0528793831757133e-06,3.557154725026525e-06,4.107026113825724e-06,2.0942169526173338
7,conditional_B,2,7,-2.0528793831757133e-06,-3.557154725026525e-06,4.107026113825724e-06,-2.0942169526173338
7,conditional_B,2,8,4.10576197024342e-06,0.0,4.10576197024342e-06,0.0
7,conditional_B,2,9,-2.0470534206309805e-06,0.0,2.0470534206309805e-06,3.141592653589793
7,conditional_B,2,10,1.0235267131147129e-06,-1.7727741113139813e-06,2.047030772168431e-06,-1.047191161770256
