y_idx,y,n_preimage_strict,n_preimage_eff,max_K,entropy,total_mass,entropy_over_log_npre
64,97,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
65,98,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
66,100,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
67,101,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
68,103,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
69,104,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
70,106,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
71,107,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
72,109,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
73,110,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
74,112,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
75,113,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
76,115,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
77,116,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
78,118,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
79,119,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
80,121,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
81,122,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
82,124,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
83,125,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
84,127,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
85,128,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
86,130,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
87,131,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
88,133,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
89,134,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
90,136,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
91,137,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
92,139,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
93,140,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
94,142,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
95,143,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
96,145,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
97,146,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
98,148,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
99,149,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
100,151,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
101,152,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
102,154,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
103,155,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
104,157,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
105,158,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
106,160,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
107,161,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
108,163,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
109,164,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
110,166,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
111,167,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
112,169,22,22,5.000000e-01,1.404096,1.619048e+00,0.454247
113,170,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
114,172,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
115,173,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
116,175,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
117,176,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
118,178,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
119,179,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
120,181,21,21,1.250000e-01,1.680800,4.761915e-01,0.552074
121,182,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
122,184,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
123,185,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
124,187,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
125,188,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
126,190,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
127,191,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
128,193,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
129,194,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
130,196,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
131,197,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
132,199,20,20,1.250000e-01,1.680776,4.761906e-01,0.561057
133,200,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
134,202,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
135,203,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
136,205,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
137,206,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
138,208,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
139,209,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
140,211,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
141,212,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
142,214,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
143,215,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
144,217,20,20,1.250000e-01,1.680776,4.761906e-01,0.561057
145,218,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
146,220,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
147,221,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
148,223,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
149,224,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
150,226,19,19,1.250000e-01,1.680751,4.761896e-01,0.570822
151,227,22,22,2.500000e-01,1.680778,9.523811e-01,0.543758
152,229,23,23,5.000000e-01,1.680779,1.904762e+00,0.536049
153,230,18,18,6.250000e-02,1.680726,2.380943e-01,0.581491
154,232,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
155,233,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
156,235,20,20,1.250000e-01,1.680776,4.761906e-01,0.561057
157,236,21,21,2.500000e-01,1.680765,9.523802e-01,0.552062
158,238,22,22,5.000000e-01,1.680772,1.904761e+00,0.543756
159,239,19,19,6.250000e-02,1.680773,2.380953e-01,0.570830
160,241,21,21,5.000000e-01,1.404088,1.619047e+00,0.461185
161,242,21,21,2.500000e-01,1.404088,8.095236e-01,0.461185
